benchmark,task_type,gov_config,seed,adversarial_fraction,screening_strength,p,completion_rate,efficiency,fidelity,capability_ratio,safety_score,gov_audit_rate,gov_circuit_breaker_enabled,gov_circuit_breaker_sensitivity,gov_min_stake,gov_bandwidth_cap,gov_confirmation_gates,capability
resource_auction_v1,allocation,tight_uniform,0,0.2,0.0,0.881414088554008,1.0,0.3333333333333333,0.913467925367791,0.913467925367791,0.1826935850735582,0.8,True,0.6,6.0,30,2,0.9073737109436706
resource_auction_v1,allocation,moderate_uniform,0,0.2,0.0,0.8658706538692035,1.0,0.3333333333333333,0.8875622008931168,0.8875622008931168,0.17751244017862336,0.5,True,0.4,4.0,50,1,0.8996019936012684
resource_auction_v1,allocation,light_uniform,0,0.2,0.0,0.9419634914985824,1.0,1.0,0.9032724858309704,0.9032724858309704,0.18065449716619408,0.15,False,,1.0,85,0,0.9709817457492911
resource_auction_v1,allocation,tight_uniform,1,0.2,0.0,0.8609813719237565,1.0,0.3333333333333333,0.8794133976507049,0.8794133976507049,0.175882679530141,0.8,True,0.6,6.0,30,2,0.8971573526285448
resource_auction_v1,allocation,moderate_uniform,1,0.2,0.0,0.9034249402086882,1.0,0.3333333333333333,0.9501526781255913,0.9501526781255913,0.1900305356251183,0.5,True,0.4,4.0,50,1,0.9183791367710107
resource_auction_v1,allocation,light_uniform,1,0.2,0.0,0.9818630803211534,1.0,1.0,0.9697718005352555,0.9697718005352555,0.1939543601070511,0.15,False,,1.0,85,0,0.9909315401605766
resource_auction_v1,allocation,tight_uniform,2,0.2,0.0,0.8610478840613153,1.0,0.3333333333333333,0.879524251213303,0.879524251213303,0.17590485024266062,0.8,True,0.6,6.0,30,2,0.8971906086973241
resource_auction_v1,allocation,moderate_uniform,2,0.2,0.0,0.7502299901181978,1.0,0.3333333333333333,0.6948277613081073,0.6948277613081073,0.13896555226162147,0.5,True,0.4,4.0,50,1,0.8417816617257655
resource_auction_v1,allocation,light_uniform,2,0.2,0.0,0.9821673449482552,1.0,1.0,0.9702789082470917,0.9702789082470917,0.19405578164941836,0.15,False,,1.0,85,0,0.9910836724741275
resource_auction_v1,allocation,tight_uniform,3,0.2,0.0,0.8021515344897998,1.0,0.3333333333333333,0.7813636685941107,0.7813636685941107,0.15627273371882214,0.8,True,0.6,6.0,30,2,0.8677424339115665
resource_auction_v1,allocation,moderate_uniform,3,0.2,0.0,0.8778470640184376,1.0,0.3333333333333333,0.9075228844751736,0.9075228844751736,0.18150457689503474,0.5,True,0.4,4.0,50,1,0.9055901986758853
resource_auction_v1,allocation,light_uniform,3,0.2,0.0,0.9594582916931235,1.0,1.0,0.9324304861552055,0.9324304861552055,0.18648609723104112,0.15,False,,1.0,85,0,0.9797291458465617
resource_auction_v1,allocation,tight_uniform,4,0.2,0.0,0.8973318002216933,1.0,0.3333333333333333,0.9399974448139332,0.9399974448139332,0.18799948896278665,0.8,True,0.6,6.0,30,2,0.9153325667775133
resource_auction_v1,allocation,moderate_uniform,4,0.2,0.0,0.8430927037173713,1.0,0.3333333333333333,0.8495989506400632,0.8495989506400632,0.16991979012801264,0.5,True,0.4,4.0,50,1,0.8882130185253522
resource_auction_v1,allocation,light_uniform,4,0.2,0.0,0.9928009188987149,1.0,1.0,0.988001531497858,0.988001531497858,0.1976003062995716,0.15,False,,1.0,85,0,0.9964004594493573
