benchmark,task_type,gov_config,seed,adversarial_fraction,screening_strength,p,completion_rate,efficiency,fidelity,capability_ratio,safety_score,gov_audit_rate,gov_circuit_breaker_enabled,gov_circuit_breaker_sensitivity,gov_min_stake,gov_bandwidth_cap,gov_confirmation_gates,capability
distributed_allocation_v1,coordination,tight_uniform,0,0.2,0.0,0.7418361609732071,0.8772952012165088,0.2,0.8772952012165088,0.8772952012165088,0.17545904024330178,0.8,True,0.6,6.0,30,2,0.8095656810948579
distributed_allocation_v1,coordination,moderate_uniform,0,0.2,0.0,0.7397123368908398,0.8621404211135497,0.25,0.8621404211135497,0.8621404211135497,0.17242808422270994,0.5,True,0.4,4.0,50,1,0.8009263790021948
distributed_allocation_v1,coordination,light_uniform,0,0.2,0.0,0.9669517387509745,0.9586896734387182,1.0,0.9586896734387182,0.9586896734387182,0.19173793468774367,0.15,False,,1.0,85,0,0.9628207060948465
distributed_allocation_v1,coordination,tight_uniform,1,0.2,0.0,0.6883759213945112,0.8104699017431389,0.2,0.8104699017431389,0.8104699017431389,0.1620939803486278,0.8,True,0.6,6.0,30,2,0.749422911568825
distributed_allocation_v1,coordination,moderate_uniform,1,0.2,0.0,0.7108558333092667,0.8260697916365833,0.25,0.8260697916365833,0.8260697916365833,0.16521395832731667,0.5,True,0.4,4.0,50,1,0.768462812472925
distributed_allocation_v1,coordination,light_uniform,1,0.2,0.0,0.9620175444498857,0.9525219305623571,1.0,0.9525219305623571,0.9525219305623571,0.19050438611247145,0.15,False,,1.0,85,0,0.9572697375061213
distributed_allocation_v1,coordination,tight_uniform,2,0.2,0.0,0.5933013943173681,0.69162674289671,0.2,0.69162674289671,0.69162674289671,0.138325348579342,0.8,True,0.6,6.0,30,2,0.642464068607039
distributed_allocation_v1,coordination,moderate_uniform,2,0.2,0.0,0.6642490186579506,0.7678112733224381,0.25,0.7678112733224381,0.7678112733224381,0.15356225466448764,0.5,True,0.4,4.0,50,1,0.7160301459901943
distributed_allocation_v1,coordination,light_uniform,2,0.2,0.0,0.9595278976342099,0.9494098720427623,1.0,0.9494098720427623,0.9494098720427623,0.18988197440855248,0.15,False,,1.0,85,0,0.954468884838486
distributed_allocation_v1,coordination,tight_uniform,3,0.2,0.0,0.7176692437641177,0.8470865547051472,0.2,0.8470865547051472,0.8470865547051472,0.16941731094102944,0.8,True,0.6,6.0,30,2,0.7823778992346324
distributed_allocation_v1,coordination,moderate_uniform,3,0.2,0.0,0.7978773451187287,0.9348466813984108,0.25,0.9348466813984108,0.9348466813984108,0.18696933627968215,0.5,True,0.4,4.0,50,1,0.8663620132585698
