benchmark,task_type,gov_config,seed,adversarial_fraction,screening_strength,p,completion_rate,efficiency,fidelity,capability_ratio,safety_score,gov_audit_rate,gov_circuit_breaker_enabled,gov_circuit_breaker_sensitivity,gov_min_stake,gov_bandwidth_cap,gov_confirmation_gates,capability
message_routing_v1,routing,tight_uniform,0,0.2,0.0,0.10666666666666669,0.0,0.16666666666666666,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.10666666666666666
message_routing_v1,routing,moderate_uniform,0,0.2,0.0,0.11000000000000001,0.0,0.2,0.3,0.0,0.0,0.5,True,0.4,4.0,50,1,0.11
message_routing_v1,routing,light_uniform,0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
message_routing_v1,routing,tight_uniform,1,0.2,0.0,0.923529411764706,1.0,0.23529411764705882,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.9235294117647058
message_routing_v1,routing,moderate_uniform,1,0.2,0.0,0.11857142857142858,0.0,0.2857142857142857,0.3,0.0,0.0,0.5,True,0.4,4.0,50,1,0.11857142857142856
message_routing_v1,routing,light_uniform,1,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,2,0.2,0.0,0.10666666666666669,0.0,0.16666666666666666,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.10666666666666666
message_routing_v1,routing,moderate_uniform,2,0.2,0.0,0.9200000000000002,1.0,0.2,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9199999999999999
message_routing_v1,routing,light_uniform,2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
message_routing_v1,routing,tight_uniform,3,0.2,0.0,0.11000000000000001,0.0,0.2,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.11
message_routing_v1,routing,moderate_uniform,3,0.2,0.0,0.9250000000000002,1.0,0.25,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9249999999999999
message_routing_v1,routing,light_uniform,3,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,4,0.2,0.0,0.9200000000000002,1.0,0.2,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.9199999999999999
message_routing_v1,routing,moderate_uniform,4,0.2,0.0,0.9250000000000002,1.0,0.25,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9249999999999999
message_routing_v1,routing,light_uniform,4,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,5,0.2,0.0,0.11142857142857145,0.0,0.21428571428571427,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.11142857142857143
message_routing_v1,routing,moderate_uniform,5,0.2,0.0,0.9272727272727274,1.0,0.2727272727272727,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9272727272727271
message_routing_v1,routing,light_uniform,5,0.2,0.0,0.9750000000000001,1.0,0.75,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9749999999999999
message_routing_v1,routing,tight_uniform,6,0.2,0.0,0.11000000000000001,0.0,0.2,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.11
message_routing_v1,routing,moderate_uniform,6,0.2,0.0,0.9250000000000002,1.0,0.25,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9249999999999999
message_routing_v1,routing,light_uniform,6,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,7,0.2,0.0,0.11000000000000001,0.0,0.2,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.11
message_routing_v1,routing,moderate_uniform,7,0.2,0.0,0.11500000000000002,0.0,0.25,0.3,0.0,0.0,0.5,True,0.4,4.0,50,1,0.11499999999999999
message_routing_v1,routing,light_uniform,7,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,8,0.2,0.0,0.11000000000000001,0.0,0.2,0.3,0.0,0.0,0.8,True,0.6,6.0,30,2,0.11
message_routing_v1,routing,moderate_uniform,8,0.2,0.0,0.9250000000000002,1.0,0.25,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9249999999999999
message_routing_v1,routing,light_uniform,8,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,9,0.2,0.0,0.9200000000000002,1.0,0.2,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.9199999999999999
message_routing_v1,routing,moderate_uniform,9,0.2,0.0,0.11500000000000002,0.0,0.25,0.3,0.0,0.0,0.5,True,0.4,4.0,50,1,0.11499999999999999
message_routing_v1,routing,light_uniform,9,0.2,0.0,0.9666666666666668,1.0,0.6666666666666666,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9666666666666666
message_routing_v1,routing,tight_uniform,10,0.2,0.0,0.9214285714285716,1.0,0.21428571428571427,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.9214285714285714
