base_rate,seed,metric,variant,auroc,auprc
0.05,0,toxicity,soft,1.0,1.0
0.05,0,toxicity,binary,1.0,1.0
0.05,1,toxicity,soft,1.0,1.0
0.05,1,toxicity,binary,0.75,0.525
0.05,2,toxicity,soft,1.0,1.0
0.05,2,toxicity,binary,1.0,1.0
0.05,3,toxicity,soft,1.0,1.0
0.05,3,toxicity,binary,1.0,1.0
0.05,4,toxicity,soft,1.0,1.0
0.05,4,toxicity,binary,1.0,1.0
0.05,5,toxicity,soft,1.0,1.0
0.05,5,toxicity,binary,0.75,0.525
0.05,6,toxicity,soft,1.0,1.0
0.05,6,toxicity,binary,0.75,0.525
0.05,7,toxicity,soft,1.0,1.0
0.05,7,toxicity,binary,1.0,1.0
0.05,8,toxicity,soft,1.0,1.0
0.05,8,toxicity,binary,1.0,1.0
0.05,9,toxicity,soft,1.0,1.0
0.05,9,toxicity,binary,1.0,1.0
0.1,0,toxicity,soft,1.0,1.0
0.1,0,toxicity,binary,0.875,0.775
0.1,1,toxicity,soft,1.0,1.0
0.1,1,toxicity,binary,0.875,0.775
0.1,2,toxicity,soft,1.0,1.0
0.1,2,toxicity,binary,0.875,0.775
0.1,3,toxicity,soft,1.0,1.0
0.1,3,toxicity,binary,1.0,1.0
0.1,4,toxicity,soft,1.0,1.0
0.1,4,toxicity,binary,1.0,1.0
0.1,5,toxicity,soft,1.0,1.0
0.1,5,toxicity,binary,0.875,0.775
0.1,6,toxicity,soft,1.0,1.0
0.1,6,toxicity,binary,1.0,1.0
0.1,7,toxicity,soft,1.0,1.0
0.1,7,toxicity,binary,1.0,1.0
0.1,8,toxicity,soft,1.0,1.0
0.1,8,toxicity,binary,1.0,1.0
0.1,9,toxicity,soft,1.0,1.0
0.1,9,toxicity,binary,1.0,1.0
0.2,0,toxicity,soft,1.0,1.0
0.2,0,toxicity,binary,1.0,1.0
0.2,1,toxicity,soft,1.0,1.0
0.2,1,toxicity,binary,0.8125,0.7
0.2,2,toxicity,soft,1.0,1.0
0.2,2,toxicity,binary,0.9375,0.9
0.2,3,toxicity,soft,1.0,1.0
0.2,3,toxicity,binary,0.9375,0.9
0.2,4,toxicity,soft,1.0,1.0
0.2,4,toxicity,binary,0.9375,0.9
0.2,5,toxicity,soft,1.0,1.0
0.2,5,toxicity,binary,0.8125,0.7
0.2,6,toxicity,soft,1.0,1.0
0.2,6,toxicity,binary,0.875,0.8
0.2,7,toxicity,soft,1.0,1.0
0.2,7,toxicity,binary,1.0,1.0
0.2,8,toxicity,soft,1.0,1.0
0.2,8,toxicity,binary,0.875,0.8
0.2,9,toxicity,soft,1.0,1.0
0.2,9,toxicity,binary,0.9375,0.9
0.35,0,toxicity,soft,1.0,1.0
0.35,0,toxicity,binary,1.0,0.9999999999999998
0.35,1,toxicity,soft,1.0,1.0
0.35,1,toxicity,binary,1.0,0.9999999999999999
0.35,2,toxicity,soft,1.0,1.0
0.35,2,toxicity,binary,0.9642857142857143,0.9535714285714285
0.35,3,toxicity,soft,1.0,1.0
0.35,3,toxicity,binary,1.0,0.9999999999999998
0.35,4,toxicity,soft,1.0,1.0
0.35,4,toxicity,binary,0.8928571428571428,0.8607142857142855
0.35,5,toxicity,soft,1.0,1.0
0.35,5,toxicity,binary,0.9285714285714286,0.9071428571428571
0.35,6,toxicity,soft,1.0,1.0
0.35,6,toxicity,binary,1.0,0.9999999999999998
0.35,7,toxicity,soft,1.0,1.0
0.35,7,toxicity,binary,0.9642857142857143,0.9535714285714285
0.35,8,toxicity,soft,1.0,1.0
0.35,8,toxicity,binary,0.9642857142857143,0.9535714285714285
0.35,9,toxicity,soft,1.0,1.0
0.35,9,toxicity,binary,0.9285714285714286,0.907142857142857
0.5,0,toxicity,soft,1.0,1.0
0.5,0,toxicity,binary,0.95,0.9500000000000002
0.5,1,toxicity,soft,1.0,1.0
0.5,1,toxicity,binary,0.875,0.8750000000000002
0.5,2,toxicity,soft,1.0,1.0
0.5,2,toxicity,binary,0.975,0.975
0.5,3,toxicity,soft,1.0,1.0
0.5,3,toxicity,binary,0.975,0.9750000000000001
0.5,4,toxicity,soft,1.0,1.0
0.5,4,toxicity,binary,0.9,0.9000000000000001
0.5,5,toxicity,soft,1.0,1.0
0.5,5,toxicity,binary,0.975,0.9750000000000001
0.5,6,toxicity,soft,1.0,1.0
0.5,6,toxicity,binary,0.975,0.975
0.5,7,toxicity,soft,1.0,1.0
0.5,7,toxicity,binary,1.0,1.0
0.5,8,toxicity,soft,1.0,1.0
0.5,8,toxicity,binary,0.9,0.9000000000000004
0.5,9,toxicity,soft,1.0,1.0
0.5,9,toxicity,binary,0.925,0.9249999999999999
