base_rate,seed,metric,variant,value
0.05,0,quality_gap,soft,-0.10095971411522742
0.05,0,quality_gap,binary,0.001203369434416346
0.05,0,conditional_loss,soft,-0.020349692376350537
0.05,0,conditional_loss,binary,0.00024255415162455218
0.05,1,quality_gap,soft,-0.10461767118339371
0.05,1,quality_gap,binary,-0.0008484199282564608
0.05,1,conditional_loss,soft,-0.021768103978002995
0.05,1,conditional_loss,binary,-0.00017653320903043834
0.05,2,quality_gap,soft,-0.10088066896019776
0.05,2,quality_gap,binary,-0.0003452729061138582
0.05,2,conditional_loss,soft,-0.01957190061857994
0.05,2,conditional_loss,binary,-6.698654037884388e-05
0.05,3,quality_gap,soft,-0.11000298353064386
0.05,3,quality_gap,binary,-0.0019753934239049586
0.05,3,conditional_loss,soft,-0.022229769588484216
0.05,3,conditional_loss,binary,-0.00039919408774746756
0.05,4,quality_gap,soft,-0.10731033795531386
0.05,4,quality_gap,binary,0.0013793103448276334
0.05,4,conditional_loss,soft,-0.01914259934879947
0.05,4,conditional_loss,binary,0.00024604885057466497
0.05,5,quality_gap,soft,-0.10732482956505862
0.05,5,quality_gap,binary,0.0008093889113719444
0.05,5,conditional_loss,soft,-0.02286242463130672
0.05,5,conditional_loss,binary,0.00017241670039114254
0.05,6,quality_gap,soft,-0.10634923719705514
0.05,6,quality_gap,binary,-0.0003799856741033558
0.05,6,conditional_loss,soft,-0.02016204288527501
0.05,6,conditional_loss,binary,-7.203895071539179e-05
0.05,7,quality_gap,soft,-0.11049641371297347
0.05,7,quality_gap,binary,0.0003572361845938232
0.05,7,conditional_loss,soft,-0.020228900739640676
0.05,7,conditional_loss,binary,6.54002702524803e-05
0.05,8,quality_gap,soft,-0.10438562757746839
0.05,8,quality_gap,binary,0.0010020040080159776
0.05,8,conditional_loss,soft,-0.020931493029856973
0.05,8,conditional_loss,binary,0.0002009226786906515
0.05,9,quality_gap,soft,-0.10892041906281014
0.05,9,quality_gap,binary,-0.0007774419539124944
0.05,9,conditional_loss,soft,-0.02064949611399114
0.05,9,conditional_loss,binary,-0.00014739003709596243
0.1,0,quality_gap,soft,-0.09898903088151201
0.1,0,quality_gap,binary,0.0020116676725004945
0.1,0,conditional_loss,soft,-0.020339152438935693
0.1,0,conditional_loss,binary,0.0004133348420841676
0.1,1,quality_gap,soft,-0.09867098606321456
0.1,1,quality_gap,binary,0.0007156954735172416
0.1,1,conditional_loss,soft,-0.019914066197654012
0.1,1,conditional_loss,binary,0.0001444437479104499
0.1,2,quality_gap,soft,-0.09758581788570286
0.1,2,quality_gap,binary,-0.0012114743531987937
0.1,2,conditional_loss,soft,-0.01817027598653065
0.1,2,conditional_loss,binary,-0.00022557400066069988
0.1,3,quality_gap,soft,-0.10354234800353346
0.1,3,quality_gap,binary,0.0024360869989585865
0.1,3,conditional_loss,soft,-0.019980437466306733
0.1,3,conditional_loss,binary,0.0004700886630802925
0.1,4,quality_gap,soft,-0.1021948676557598
0.1,4,quality_gap,binary,0.0021627998427055095
0.1,4,conditional_loss,soft,-0.017937328333328617
0.1,4,conditional_loss,binary,0.00037961643072492723
0.1,5,quality_gap,soft,-0.09958225631971929
0.1,5,quality_gap,binary,0.0015980823012384793
0.1,5,conditional_loss,soft,-0.01955339095444486
0.1,5,conditional_loss,binary,0.000313790118524393
0.1,6,quality_gap,soft,-0.09891919332249843
