metric,variant,base_rate,n,value_mean,value_std
conditional_loss,binary,0.05,10,6.519982656538748e-06,0.00020377502593950646
conditional_loss,binary,0.1,10,0.0002195082548726135,0.0002343987570083939
conditional_loss,binary,0.2,10,0.00025532042651660314,0.00023862948950487066
conditional_loss,binary,0.35,10,0.0006350381780668935,0.0005263382908286218
conditional_loss,binary,0.5,10,0.0004935105539466078,0.0002986096082059665
conditional_loss,soft,0.05,10,-0.020789642331028767,0.0011164701689840202
conditional_loss,soft,0.1,10,-0.019028683988411666,0.000879450942918029
conditional_loss,soft,0.2,10,-0.015376837569026825,0.0009308005964027208
conditional_loss,soft,0.35,10,-0.010880112652207596,0.0007297247067879527
conditional_loss,soft,0.5,10,-0.007161072159949633,0.0005694770169641355
quality_gap,binary,0.05,10,4.2479499693459656e-05,0.0010300147627778007
quality_gap,binary,0.1,10,0.001152005578098736,0.0012434939973915825
quality_gap,binary,0.2,10,0.001447213412406101,0.001360582278155424
quality_gap,binary,0.35,10,0.003834533945178431,0.003158258728684833
quality_gap,binary,0.5,10,0.003382715657139335,0.0020845211410550893
quality_gap,soft,0.05,10,-0.10612479028601425,0.003230138134770387
quality_gap,soft,0.1,10,-0.09982465276399155,0.0018513954495410696
quality_gap,soft,0.2,10,-0.08520149329853645,0.003418583082209
quality_gap,soft,0.35,10,-0.06631758853565482,0.0038396961832682136
quality_gap,soft,0.5,10,-0.04840313699256701,0.0037731503667466065
