base_rate,variant,n,auroc_mean,auroc_std,auprc_mean,auprc_std
0.05,binary,10,0.925,0.11456439237389601,0.8574999999999999,0.2176723455104024
0.05,soft,10,1.0,0.0,1.0,0.0
0.1,binary,10,0.95,0.06123724356957945,0.9099999999999999,0.110227038425243
0.1,soft,10,1.0,0.0,1.0,0.0
0.2,binary,10,0.9125,0.0637377439199098,0.86,0.10198039027185571
0.2,soft,10,1.0,0.0,1.0,0.0
0.35,binary,10,0.9642857142857142,0.03571428571428572,0.9535714285714285,0.046428571428571395
0.35,soft,10,1.0,0.0,1.0,0.0
0.5,binary,10,0.9450000000000001,0.03999999999999998,0.9450000000000003,0.039999999999999925
0.5,soft,10,1.0,0.0,1.0,0.0
