base_rate,seed,metric,variant,median_ttd,mean_ttd,detection_rate,n_degrading,n_flagged
0.05,0,toxicity,soft,1.5,1.5,1.0,2,2
0.05,0,toxicity,binary,9.5,9.5,1.0,2,2
0.05,1,toxicity,soft,0.0,0.0,1.0,2,2
0.05,1,toxicity,binary,8.0,8.0,0.5,2,1
0.05,2,toxicity,soft,2.0,2.0,1.0,2,2
0.05,2,toxicity,binary,9.0,9.0,1.0,2,2
0.05,3,toxicity,soft,0.0,0.0,1.0,2,2
0.05,3,toxicity,binary,12.0,12.0,1.0,2,2
0.05,4,toxicity,soft,0.0,0.0,1.0,2,2
0.05,4,toxicity,binary,8.5,8.5,1.0,2,2
0.05,5,toxicity,soft,0.0,0.0,1.0,2,2
0.05,5,toxicity,binary,13.0,13.0,0.5,2,1
0.05,6,toxicity,soft,1.5,1.5,1.0,2,2
0.05,6,toxicity,binary,6.0,6.0,0.5,2,1
0.05,7,toxicity,soft,4.0,4.0,1.0,2,2
0.05,7,toxicity,binary,8.0,8.0,1.0,2,2
0.05,8,toxicity,soft,0.0,0.0,1.0,2,2
0.05,8,toxicity,binary,8.0,8.0,1.0,2,2
0.05,9,toxicity,soft,0.0,0.0,1.0,2,2
0.05,9,toxicity,binary,14.0,14.0,1.0,2,2
0.1,0,toxicity,soft,0.0,0.0,1.0,4,4
0.1,0,toxicity,binary,10.0,9.0,0.75,4,3
0.1,1,toxicity,soft,0.0,0.5,1.0,4,4
0.1,1,toxicity,binary,11.0,11.666666666666666,0.75,4,3
0.1,2,toxicity,soft,2.0,2.5,1.0,4,4
0.1,2,toxicity,binary,11.0,11.666666666666666,0.75,4,3
0.1,3,toxicity,soft,0.0,0.5,1.0,4,4
0.1,3,toxicity,binary,9.5,10.75,1.0,4,4
0.1,4,toxicity,soft,0.0,1.75,1.0,4,4
0.1,4,toxicity,binary,9.0,8.75,1.0,4,4
0.1,5,toxicity,soft,0.5,1.25,1.0,4,4
0.1,5,toxicity,binary,11.0,10.666666666666666,0.75,4,3
0.1,6,toxicity,soft,0.0,0.25,1.0,4,4
0.1,6,toxicity,binary,8.5,8.5,1.0,4,4
0.1,7,toxicity,soft,1.5,2.75,1.0,4,4
0.1,7,toxicity,binary,8.0,8.0,1.0,4,4
0.1,8,toxicity,soft,0.0,0.0,1.0,4,4
0.1,8,toxicity,binary,12.0,12.25,1.0,4,4
0.1,9,toxicity,soft,0.0,1.5,1.0,4,4
0.1,9,toxicity,binary,11.5,10.25,1.0,4,4
0.2,0,toxicity,soft,0.0,0.75,1.0,8,8
0.2,0,toxicity,binary,9.5,10.0,1.0,8,8
0.2,1,toxicity,soft,0.0,0.625,1.0,8,8
0.2,1,toxicity,binary,12.0,11.8,0.625,8,5
0.2,2,toxicity,soft,0.0,0.75,1.0,8,8
0.2,2,toxicity,binary,10.0,10.142857142857142,0.875,8,7
0.2,3,toxicity,soft,0.0,0.625,1.0,8,8
0.2,3,toxicity,binary,8.0,8.428571428571429,0.875,8,7
0.2,4,toxicity,soft,0.0,0.0,1.0,8,8
0.2,4,toxicity,binary,12.0,10.857142857142858,0.875,8,7
0.2,5,toxicity,soft,1.0,2.125,1.0,8,8
0.2,5,toxicity,binary,11.0,12.6,0.625,8,5
0.2,6,toxicity,soft,0.0,1.625,1.0,8,8
0.2,6,toxicity,binary,7.5,7.833333333333333,0.75,8,6
0.2,7,toxicity,soft,0.0,0.0,1.0,8,8
0.2,7,toxicity,binary,9.0,9.25,1.0,8,8
0.2,8,toxicity,soft,0.0,1.125,1.0,8,8
0.2,8,toxicity,binary,10.5,10.666666666666666,0.75,8,6
0.2,9,toxicity,soft,0.0,1.125,1.0,8,8
0.2,9,toxicity,binary,7.0,6.571428571428571,0.875,8,7
0.35,0,toxicity,soft,0.0,1.9285714285714286,1.0,14,14
0.35,0,toxicity,binary,11.0,11.0,1.0,14,14
0.35,1,toxicity,soft,0.0,0.9285714285714286,1.0,14,14
0.35,1,toxicity,binary,10.5,11.071428571428571,1.0,14,14
0.35,2,toxicity,soft,0.0,0.14285714285714285,1.0,14,14
0.35,2,toxicity,binary,9.0,9.23076923076923,0.9285714285714286,14,13
0.35,3,toxicity,soft,0.0,0.0,1.0,14,14
0.35,3,toxicity,binary,10.0,9.571428571428571,1.0,14,14
0.35,4,toxicity,soft,0.0,1.0714285714285714,1.0,14,14
0.35,4,toxicity,binary,11.0,10.0,0.7857142857142857,14,11
0.35,5,toxicity,soft,0.0,0.35714285714285715,1.0,14,14
0.35,5,toxicity,binary,8.0,9.0,0.8571428571428571,14,12
0.35,6,toxicity,soft,0.0,1.7142857142857142,1.0,14,14
0.35,6,toxicity,binary,10.0,10.071428571428571,1.0,14,14
0.35,7,toxicity,soft,0.0,0.9285714285714286,1.0,14,14
0.35,7,toxicity,binary,10.0,10.76923076923077,0.9285714285714286,14,13
0.35,8,toxicity,soft,0.0,1.8571428571428572,1.0,14,14
0.35,8,toxicity,binary,10.0,11.153846153846153,0.9285714285714286,14,13
0.35,9,toxicity,soft,0.0,0.8571428571428571,1.0,14,14
0.35,9,toxicity,binary,11.0,9.833333333333334,0.8571428571428571,14,12
0.5,0,toxicity,soft,0.0,1.2,1.0,20,20
0.5,0,toxicity,binary,10.5,10.38888888888889,0.9,20,18
0.5,1,toxicity,soft,0.0,0.95,1.0,20,20
0.5,1,toxicity,binary,9.0,9.733333333333333,0.75,20,15
0.5,2,toxicity,soft,0.0,1.25,1.0,20,20
0.5,2,toxicity,binary,11.0,10.31578947368421,0.95,20,19
0.5,3,toxicity,soft,0.0,0.7,1.0,20,20
0.5,3,toxicity,binary,10.0,10.473684210526315,0.95,20,19
0.5,4,toxicity,soft,0.0,0.9,1.0,20,20
0.5,4,toxicity,binary,11.0,10.411764705882353,0.85,20,17
0.5,5,toxicity,soft,0.0,0.85,1.0,20,20
0.5,5,toxicity,binary,10.0,10.0,0.95,20,19
0.5,6,toxicity,soft,0.0,1.8,1.0,20,20
0.5,6,toxicity,binary,9.0,10.0,0.95,20,19
0.5,7,toxicity,soft,0.0,0.85,1.0,20,20
0.5,7,toxicity,binary,11.0,10.8,1.0,20,20
0.5,8,toxicity,soft,0.0,1.1,1.0,20,20
0.5,8,toxicity,binary,9.5,9.875,0.8,20,16
0.5,9,toxicity,soft,0.0,1.45,1.0,20,20
0.5,9,toxicity,binary,11.0,11.176470588235293,0.85,20,17
