family,detector,auc_mean,auc_lo95,auc_hi95,precision_mean,precision_lo95,precision_hi95,recall_mean,recall_lo95,recall_hi95,f1_mean,f1_lo95,f1_hi95,recovery_mean,recovery_lo95,recovery_hi95,tpr_mean,tpr_mean_lo95,tpr_mean_hi95,tpr_min,tpr_min_lo95,tpr_min_hi95,n_replicates
benign,graph_structural,0.5000,0.5000,0.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
benign,graph_structural_temporal,0.5000,0.5000,0.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
benign,identity_jaccard,0.5000,0.5000,0.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
benign,reputation_mutual,0.5000,0.5000,0.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
benign,collusion_score,0.5000,0.5000,0.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
collusion_ring_size3,graph_structural,0.5842,0.5447,0.6360,0.0227,0.0000,0.0602,0.1000,0.0000,0.2500,0.0346,0.0000,0.0965,0.0227,0.0000,0.0641,0.1000,0.0000,0.2500,0.1000,0.0000,0.2500,20
collusion_ring_size3,graph_structural_temporal,0.5773,0.5383,0.6289,0.0226,0.0000,0.0601,0.1000,0.0000,0.2500,0.0344,0.0000,0.0961,0.0227,0.0000,0.0641,0.1000,0.0000,0.2500,0.1000,0.0000,0.2500,20
collusion_ring_size3,identity_jaccard,0.5137,0.4899,0.5374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size3,reputation_mutual,0.4922,0.4309,0.5569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size3,collusion_score,0.4968,0.4862,0.5128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size5,graph_structural,0.6072,0.5694,0.6622,0.0949,0.0302,0.1974,0.4500,0.2500,0.6500,0.1306,0.0533,0.2367,0.0997,0.0333,0.2041,0.4500,0.2500,0.7000,0.4500,0.2500,0.6500,20
collusion_ring_size5,graph_structural_temporal,0.5784,0.5256,0.6379,0.1113,0.0418,0.2159,0.4600,0.2600,0.6600,0.1427,0.0657,0.2534,0.1068,0.0409,0.2091,0.4600,0.2500,0.7000,0.4600,0.2500,0.6600,20
collusion_ring_size5,identity_jaccard,0.2868,0.2514,0.3256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size5,reputation_mutual,0.7489,0.6912,0.7962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size5,collusion_score,0.4878,0.4822,0.4933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size8,graph_structural,1.0000,1.0000,1.0000,0.2059,0.1600,0.2935,1.0000,1.0000,1.0000,0.3176,0.2759,0.3905,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20
collusion_ring_size8,graph_structural_temporal,1.0000,1.0000,1.0000,0.2059,0.1600,0.2935,1.0000,1.0000,1.0000,0.3176,0.2759,0.3905,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20
collusion_ring_size8,identity_jaccard,0.1949,0.1714,0.2185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size8,reputation_mutual,0.9551,0.9347,0.9722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
collusion_ring_size8,collusion_score,0.4865,0.4768,0.4969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap80,graph_structural,0.6567,0.6250,0.6883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap80,graph_structural_temporal,0.6533,0.6219,0.6887,0.0823,0.0457,0.1266,0.2500,0.1200,0.3900,0.1183,0.0618,0.1777,0.0649,0.0354,0.1000,0.2200,0.1100,0.3500,0.2200,0.1100,0.3700,20
sybil_cluster_overlap80,identity_jaccard,0.1897,0.1563,0.2240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap80,reputation_mutual,0.3336,0.2972,0.3696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap80,collusion_score,0.6656,0.6229,0.7040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap95,graph_structural,0.7539,0.7211,0.7861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap95,graph_structural_temporal,0.7240,0.6818,0.7676,0.1440,0.1054,0.1842,0.5600,0.3700,0.7400,0.2280,0.1631,0.2930,0.1372,0.0937,0.1856,0.5500,0.3800,0.7500,0.5500,0.3600,0.7500,20
sybil_cluster_overlap95,identity_jaccard,0.1662,0.1436,0.1842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap95,reputation_mutual,0.4028,0.3634,0.4469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
sybil_cluster_overlap95,collusion_score,0.7066,0.6740,0.7438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin10,graph_structural,0.9900,0.9700,1.0000,1.0000,1.0000,1.0000,0.9900,0.9700,1.0000,0.9944,0.9833,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,20
threshold_dancing_margin10,graph_structural_temporal,0.9900,0.9700,1.0000,0.9598,0.8982,1.0000,0.9900,0.9700,1.0000,0.9718,0.9321,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,20
threshold_dancing_margin10,identity_jaccard,0.8504,0.7422,0.9302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin10,reputation_mutual,0.0653,0.0431,0.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin10,collusion_score,0.9358,0.8994,0.9684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin05,graph_structural,0.9900,0.9700,1.0000,1.0000,1.0000,1.0000,0.9900,0.9700,1.0000,0.9944,0.9833,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,20
threshold_dancing_margin05,graph_structural_temporal,0.9900,0.9700,1.0000,0.9598,0.8982,1.0000,0.9900,0.9700,1.0000,0.9718,0.9321,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,0.9900,0.9700,1.0000,20
threshold_dancing_margin05,identity_jaccard,0.8504,0.7422,0.9302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin05,reputation_mutual,0.0653,0.0431,0.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
threshold_dancing_margin05,collusion_score,0.9358,0.8994,0.9684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_n3,graph_structural,0.5331,0.5178,0.5569,0.1284,0.0836,0.1751,0.6000,0.4000,0.8000,0.2113,0.1353,0.2821,0.0318,0.0202,0.0445,0.3633,0.2167,0.4933,0.0000,0.0000,0.0000,20
overlapping_coalitions_n3,graph_structural_temporal,0.5693,0.5356,0.6089,0.2284,0.1253,0.3468,0.6393,0.4250,0.8250,0.2669,0.1760,0.3481,0.0903,0.0431,0.1432,0.4267,0.2833,0.5667,0.1000,0.0000,0.2500,20
overlapping_coalitions_n3,identity_jaccard,0.5074,0.4711,0.5466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_n3,reputation_mutual,0.5781,0.5403,0.6202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_n3,collusion_score,0.5679,0.5379,0.6023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_overlap60,graph_structural,0.5358,0.5194,0.5614,0.0559,0.0198,0.0979,0.3000,0.1000,0.5000,0.0940,0.0308,0.1635,0.0157,0.0054,0.0276,0.1800,0.0600,0.3200,0.0500,0.0000,0.1500,20
overlapping_coalitions_overlap60,graph_structural_temporal,0.6032,0.5399,0.6956,0.2059,0.0757,0.3564,0.4500,0.2500,0.6500,0.2440,0.1064,0.4087,0.0678,0.0195,0.1327,0.2467,0.1250,0.3817,0.0500,0.0000,0.1500,20
overlapping_coalitions_overlap60,identity_jaccard,0.4248,0.3823,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_overlap60,reputation_mutual,0.6285,0.5890,0.6724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
overlapping_coalitions_overlap60,collusion_score,0.7182,0.6714,0.7706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
burst_coordination_3bursts,graph_structural,0.7022,0.6228,0.7922,0.2307,0.0800,0.4207,0.5000,0.3000,0.7000,0.2557,0.1045,0.4364,0.3232,0.1285,0.5167,0.5000,0.3000,0.7000,0.5000,0.2500,0.7000,20
burst_coordination_3bursts,graph_structural_temporal,1.0000,1.0000,1.0000,0.7307,0.5500,0.9100,1.0000,1.0000,1.0000,0.7557,0.5909,0.9182,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,20
burst_coordination_3bursts,identity_jaccard,0.3322,0.2924,0.3774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
burst_coordination_3bursts,reputation_mutual,0.7349,0.6822,0.7862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
burst_coordination_3bursts,collusion_score,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
