detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
off,0,0,42,3014,3014,0.29089118572812594,0.0,3048.762534371901,76.21906335929752,10,0,63.075368657996954,216.1840960342673,154.95023595887895,382.1888057455059,175.93851679035438,303.02070292783065,211.46232716987438,295.8634147514207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251618543617156,0.23662495056039737,0.0038400654025294557,0.6979856390702107,0.732824427480916,0.23691295546558705,207
off,0,1,43,2991,2991,0.288875221187591,0.0,3046.4396523347395,76.1609913083685,10,0,63.20998977455103,217.36521217572982,164.39931005934886,388.97529257820906,175.7733884673929,313.45781775155666,217.2175947225066,294.16818923943896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896449330891149,0.16014233775499714,0.0076449596516065714,0.6024111127411322,0.6896551724137931,0.16071570972886762,126
off,0,2,44,3003,3003,0.2864512830873296,0.0,3083.1741299446553,77.07935324861639,10,0,64.18453323366619,217.05373948990163,166.9022650496912,384.1072355682164,176.14146352929342,314.78962209687757,217.5069150709287,290.696038277725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31518903459821423,0.06767474118578207,5.1069903857884746e-05,0.5940163181338595,0.6746987951807228,0.06767857142857144,54
off,0,3,45,3000,3000,0.28897435156038676,0.0,3054.475233555842,76.36188083889604,10,0,63.366918633995226,213.91184949652884,163.67534117766962,382.9702937412843,174.82650602188357,294.80606579288116,212.28230419216226,291.5355444244717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34136275406722183,0.1494819308405505,0.0010060828911542846,0.6175991126863558,0.72,0.14955738705738705,141
off,0,4,46,3007,3007,0.28964080139599574,0.0,3054.713153768759,76.36782884421898,10,0,63.312151581433966,215.0913757612912,154.3025385460341,396.44860212652674,175.57010066952432,286.7056558306591,212.96284512991159,298.9123263175977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43764474051339286,0.19219180728889343,0.0025219345607859272,0.6472618131072757,0.7022900763358778,0.19238095238095237,140
off,0,5,47,3017,3017,0.2874126744691199,0.0,3086.6107722193497,77.16526930548375,10,0,64.16208153586307,220.46885006390556,174.406816338367,396.21655804304464,179.96718418983596,310.03106013435195,216.9266664532482,298.96383445621996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36597662591314933,0.09292552674251968,0.00011635338978089251,0.5755524748786582,0.6375,0.09293425324675325,72
off,0,6,48,2983,2983,0.29012467307412637,0.0,3025.577793580568,75.6394448395142,10,0,62.6669939288401,212.88304500444877,154.2309429522537,388.55485270515834,169.58326588890552,309.81342204975414,214.80157143277134,293.3579306142647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226533872898781,0.26312423655981587,0.0027068719146276453,0.6935045443210719,0.746031746031746,0.26332725195341294,213
off,0,7,49,2995,2995,0.2903227627453859,0.0,3035.5307714459036,75.88826928614759,10,0,62.853846218997035,214.93885676253802,155.2525195927386,397.51966120438357,170.9111824155641,316.0907181564153,213.93395955669644,296.9483977094421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49012602816571244,0.23175611260729964,0.005807794458634034,0.6688520652087735,0.7318840579710145,0.23219169719169722,197
off,0,8,50,2992,2992,0.2873030468482236,0.0,3062.7937868024933,76.56984467006234,10,0,63.68217020007321,217.66618290575258,153.03766150767166,400.64002840272013,174.27656785698892,312.9198133968557,209.51392784286108,304.2843403379376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10460526315789473,0.019012482076466653,9.010910269121633e-06,0.5516985549403234,0.6666666666666666,0.019013157894736843,11
off,0,9,51,2998,2998,0.2867661348647539,0.0,3074.1899504132316,76.85474876033079,10,0,63.9644103062714,217.17567087714855,158.2016556799751,393.16487311626946,176.10073258042448,302.64779380498385,215.26551427186376,298.61950260604556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21966542476365544,0.05444928661695264,5.993194203199337e-05,0.575428999814626,0.6690140845070423,0.054453781512605035,43
