able_rate,bond,default_rate,gift,involuntary_default_rate,mean_borrower_mana,mean_lender_loss,n,principal_sigma,rho,rho_star,strategic_default_rate,total_lender_loss,w_rep
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.0,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.0,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.1,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.1,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.2,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.2,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.3,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.3,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.4,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.4,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.5,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.5,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.6,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.6,1.0,1.0,1030000.0,0.0
0.4,0.0,1.0,0.0,0.6,5150.19869705177,5150.0,200,0.0,0.7,1.0,0.4,1030000.0,0.0
1.0,0.0,1.0,5010.0,0.0,10160.198697051768,5150.0,200,0.0,0.7,1.0,1.0,1030000.0,0.0
