mode,detection,write_pref,side_host_attention,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.065,0.7,,42,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.1,0,0,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,1,False,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8181818181818182,True,False,1,0,0.4,4,48,0.07692307692307693,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,2,False,0.10714285714285714,0.10714285714285714,0.5,0.5,0.75,False,True,1,0,0.6,0,39,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,3,False,0.20535714285714285,0.20535714285714285,0.6875,0.6875,0.5833333333333334,True,False,2,0,0.7,18,22,0.45,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,4,False,0.32589285714285715,0.32589285714285715,0.6666666666666666,0.6666666666666666,0.5789473684210527,False,True,2,0,0.7,0,39,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,5,False,0.4110863095238096,0.41108630952380953,0.55,0.6785714285714286,0.5102040816326531,True,False,3,0,0.8,26,12,0.6842105263157895,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,6,False,0.4458147321428572,0.44581473214285716,0.45,0.6333333333333333,0.5384615384615384,False,True,3,0,0.9,0,50,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,7,False,0.44686104910714286,0.44686104910714286,0.4,0.6470588235294118,0.5087719298245614,True,False,4,0,1.0,32,17,0.6530612244897959,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,8,False,0.4351457868303571,0.4351457868303571,0.4,0.6666666666666666,0.4603174603174603,False,True,4,0,1.0,0,45,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,9,False,0.42635934012276777,0.42635934012276777,0.35,0.6578947368421053,0.45454545454545453,True,False,5,0,1.0,26,12,0.6842105263157895,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,10,False,0.40726950509207577,0.4072695050920758,0.35,0.675,0.44285714285714284,False,True,5,0,1.0,0,43,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,11,False,0.39295212881905683,0.39295212881905683,0.25,0.6808510638297872,0.4230769230769231,True,False,6,0,1.0,32,9,0.7804878048780488,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,12,False,0.3572140966142926,0.3572140966142926,0.25,0.6938775510204082,0.4024390243902439,False,True,6,0,1.0,0,43,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,13,False,0.3304105724607195,0.3304105724607195,0.2,0.6923076923076923,0.39080459770114945,False,True,6,0,1.0,34,7,0.8292682926829268,0.7,34,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,14,False,0.3603079293455395,0.36030792934553957,0.05,0.6724137931034483,0.39361702127659576,True,False,7,0,1.0,24,14,0.631578947368421,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,15,False,0.2827309470091547,0.2827309470091547,0.05,0.6721311475409836,0.3877551020408163,False,True,7,0,1.0,0,39,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,16,False,0.22454821025686603,0.22454821025686603,0.0,0.6911764705882353,0.37142857142857144,False,True,7,0,1.0,17,18,0.4857142857142857,0.35294117647058826,17,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,17,False,0.21252880475147307,0.21252880475147307,0.0,0.6619718309859155,0.38181818181818183,True,False,8,0,1.0,35,11,0.7608695652173914,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,18,False,0.1593966035636048,0.1593966035636048,0.0,0.6666666666666666,0.3783783783783784,False,True,8,0,1.0,0,43,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,19,False,0.1195474526727036,0.1195474526727036,0.0,0.6794871794871795,0.3644067796610169,True,False,9,0,1.0,29,12,0.7073170731707317,0.0,0,0.0,0.065,0.065,0.0,0.0
deletion,0.065,0.7,,42,20,False,0.0896605895045277,0.0896605895045277,0.0,0.675,0.36585365853658536,False,True,9,0,1.0,0,43,0.0,0.0,0,0.0,0.065,0.065,0.0,0.0
