mode,detection,write_pref,side_host_attention,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.065,0.7,,0,42,2399,2399,0.2831651656054356,0.0,2473.269114574803,61.83172786437008,10,0,51.575562193376484,188.49728167287014,138.02058566779033,310.4815168280544,156.8461028506441,256.954979239412,195.97854079669014,245.4813397943674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.41779281354907355,1.0,0.057573529411764704,0.012502158614696297,637,292,17,0,0,0.0,24,0.0,0.0
deletion,0.065,0.7,,1,43,2511,2511,0.28319950755114076,0.0,2598.2227177531486,64.95556794382871,10,0,54.2624328750925,196.00640604609248,141.1440447706116,340.3329572189429,165.75119571586592,242.5375653585237,202.50872195171348,260.255299427746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.3275199408895061,1.0,0.02708333333333333,0.0001724802177544105,497,204,16,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,2,44,2517,2517,0.2818119672452409,0.0,2616.217650294896,65.4054412573724,10,0,54.73875442043801,197.08131584596933,148.70271755007454,332.42990776953934,167.50884802724352,258.08160904904753,205.29053470052622,251.19396327332925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.3568230625583567,1.0,0.021249999999999998,0.03292459178548621,503,225,17,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,3,45,2436,2436,0.2840343400640818,0.0,2514.830271973779,62.87075679934448,10,0,52.47147858746401,189.6632146573078,138.70095379962245,332.4485078256097,151.23823412997498,286.94156978413935,190.9603649168292,255.65040354612984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.33897126750068807,1.0,0.093125,0.001536940736473126,554,255,16,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,4,46,2475,2475,0.2820421097021993,0.0,2565.561370504904,64.1390342626226,10,0,53.619452073673564,194.1776625371255,144.9379071190664,308.66145326857077,163.28402764900963,279.7218819298675,197.14881023869123,242.60088365431935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8108108108108109,0.33852805885020265,1.0,0.034999999999999996,0.00010030170654901191,550,247,16,0,0,0.0,31,0.0,0.0
deletion,0.065,0.7,,5,47,2464,2464,0.27851115411491534,0.0,2587.564937420181,64.68912343550453,10,0,54.363674630005235,196.97781649526956,162.14839548083194,324.47307987498016,171.2269919134537,260.8666410208505,192.18047331978076,244.68454956567103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.496002490441615,1.0,0.08277777777777778,0.05488014644603673,580,264,17,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,6,48,2629,2629,0.2857154419804745,0.0,2693.152793009526,67.32881982523814,10,0,56.01331744145652,199.9043884839789,161.74020551443274,322.45902623435416,172.14189228406235,248.03375330666435,200.26832107779384,258.9452283754783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.34966865766593624,1.0,0.02596153846153846,0.0049199243934403515,396,173,15,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,7,49,2428,2428,0.2828338695930991,0.0,2513.1638364427654,62.82909591106913,10,0,52.493054013022416,189.49262713741294,147.64222571355302,320.04680999281845,158.98560069342514,227.10130416153336,199.84105440915806,257.03515432144354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2981096088134795,1.0,0.06115131578947368,0.008010693194018226,597,271,17,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,8,50,2504,2504,0.28068179407007887,0.0,2608.780737780186,65.21951844450464,10,0,54.634727581770086,196.8775442047227,152.46295256332945,327.08668816378423,161.6199459311322,316.24198740656294,183.7976987217068,249.5080401660822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.3386436204570401,1.0,0.08011363636363636,0.013439131148304584,525,230,15,0,0,0.0,0,0.0,0.0
deletion,0.065,0.7,,9,51,2487,2487,0.27918736734775107,0.0,2602.408764416044,65.0602191104011,10,0,54.5973166004718,194.7600913059975,158.5744338659452,306.41444933048734,166.4799769211212,273.969295241219,193.91497856011614,240.41838886595633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378378378378378,0.35125831512331623,1.0,0.01,3.1669928312763104e-05,552,237,18,0,0,0.0,33,0.0,0.0
