mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.05,0.7,,complete,0.0,42,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.1,0,0,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,1,False,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8181818181818182,False,True,0,0,0.5,4,48,0.07692307692307693,0.0,4,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,2,False,0.06887755102040816,0.10714285714285714,0.5,0.5,0.7407407407407407,False,True,0,0,0.5,16,26,0.38095238095238093,0.0,20,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,3,False,0.13201530612244897,0.20535714285714285,0.6666666666666666,0.6666666666666666,0.5882352941176471,True,False,1,0,0.6,12,26,0.3157894736842105,0.0,0,0.0,0.05,0.05000000000000001,6.938893903907228e-18,0.0
deletion,0.05,0.7,,complete,0.0,42,4,False,0.2656781462585034,0.32068452380952384,0.6875,0.6875,0.5714285714285714,False,True,1,0,0.8,0,41,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,5,False,0.37113360969387754,0.4123883928571429,0.6,0.6923076923076923,0.5111111111111111,True,False,2,0,0.8,22,14,0.6111111111111112,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,6,False,0.4283502072704081,0.45929129464285723,0.55,0.6666666666666666,0.5217391304347826,False,True,2,0,0.8,0,51,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,7,False,0.4587626554528061,0.48196847098214296,0.35,0.6060606060606061,0.5185185185185185,False,True,2,0,0.8,25,20,0.5555555555555556,0.75,25,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,8,False,0.46728627730389033,0.47461024693080356,0.25,0.6153846153846154,0.5,True,False,3,0,0.8,29,19,0.6041666666666666,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,9,False,0.41296470797791773,0.41845768519810267,0.2,0.6190476190476191,0.48484848484848486,False,True,3,0,0.9,0,43,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,10,False,0.3597235309834383,0.36384326389857696,0.15,0.6136363636363636,0.4782608695652174,True,False,4,0,0.9,34,15,0.6938775510204082,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,11,False,0.3072926482375787,0.3103824479239327,0.1,0.6326530612244898,0.4666666666666667,False,True,4,0,0.9,0,35,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,12,False,0.25546948617818405,0.25778683594294954,0.1,0.6415094339622641,0.45121951219512196,True,False,5,0,1.0,27,10,0.7297297297297297,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,13,False,0.21660211463363802,0.21834012695721214,0.1,0.6607142857142857,0.42045454545454547,False,True,5,0,1.0,0,44,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,14,False,0.1874515859752285,0.1887550952179091,0.05,0.65,0.41935483870967744,True,False,6,0,1.0,24,14,0.631578947368421,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,15,False,0.15308868948142138,0.15406632141343182,0.05,0.6507936507936508,0.422680412371134,False,True,6,0,1.0,0,42,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,16,False,0.12731651711106604,0.12804974106007389,0.05,0.647887323943662,0.41904761904761906,False,True,6,0,1.0,29,10,0.7435897435897436,0.45,29,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,17,False,0.15798738783329955,0.15853730579505543,0.0,0.6172839506172839,0.43478260869565216,False,True,6,0,1.0,27,10,0.7297297297297297,0.6,56,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,18,False,0.19349054087497466,0.19390297934629158,0.0,0.6235294117647059,0.4297520661157025,True,False,7,0,1.0,36,12,0.75,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,19,False,0.145117905656231,0.14542723450971867,0.0,0.6292134831460674,0.4126984126984127,False,True,7,0,1.0,0,39,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,20,False,0.10883842924217324,0.109070425882289,0.0,0.6,0.4318181818181818,True,False,8,0,1.0,29,15,0.6590909090909091,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,21,False,0.08162882193162993,0.08180281941171676,0.0,0.6060606060606061,0.42028985507246375,False,True,8,0,1.0,0,39,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,22,False,0.06122161644872245,0.06135211455878757,0.0,0.6,0.4206896551724138,True,False,9,0,1.0,32,13,0.7111111111111111,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,23,False,0.04591621233654184,0.046014085919090675,0.0,0.6018518518518519,0.41333333333333333,False,True,9,0,1.0,0,38,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,24,False,0.034437159252406375,0.034510564439318006,0.0,0.6106194690265486,0.4090909090909091,True,False,10,0,1.0,27,17,0.6136363636363636,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,25,False,0.025827869439304783,0.025882923329488505,0.0,0.6052631578947368,0.40764331210191085,False,True,10,0,1.0,0,49,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,26,False,0.019370902079478586,0.019412192497116378,0.0,0.6065573770491803,0.40606060606060607,True,False,11,0,1.0,35,11,0.7608695652173914,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,27,False,0.014528176559608941,0.014559144372837283,0.0,0.6141732283464567,0.4,False,True,11,0,1.0,0,39,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,28,False,0.010896132419706704,0.010919358279627962,0.0,0.6240601503759399,0.39325842696629215,True,False,12,0,1.0,25,10,0.7142857142857143,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,29,False,0.008172099314780027,0.008189518709720971,0.0,0.625,0.39344262295081966,False,True,12,0,1.0,0,36,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,30,False,0.006129074486085022,0.006142139032290729,0.0,0.6153846153846154,0.39378238341968913,True,False,13,0,1.0,24,10,0.7058823529411765,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,31,False,0.004596805864563765,0.004606604274218046,0.0,0.6148648648648649,0.39195979899497485,False,True,13,0,1.0,0,35,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,32,False,0.0034476043984228238,0.0034549532056635346,0.0,0.6209150326797386,0.3864734299516908,True,False,14,0,1.0,25,15,0.625,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,33,False,0.002585703298817118,0.002591214904247651,0.0,0.6139240506329114,0.38967136150234744,False,True,14,0,1.0,0,44,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,34,False,0.0019392774741128387,0.0019434111781857382,0.0,0.6111111111111112,0.3891402714932127,False,True,14,0,1.0,30,12,0.7142857142857143,0.35,30,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,35,False,0.045204458105584634,0.0452075583836393,0.0,0.611764705882353,0.3930131004366812,True,False,15,0,1.0,28,8,0.7777777777777778,0.0,0,0.0,0.05,0.05,0.0,0.0
deletion,0.05,0.7,,complete,0.0,42,36,False,0.03390334357918847,0.03390566878772948,0.0,0.6184971098265896,0.38626609442060084,False,True,15,0,1.0,0,44,0.0,0.0,0,0.0,0.05,0.05,0.0,0.0
