mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.05,0.7,,complete,0.0,0,42,2377,2377,0.2815734065647388,0.0,2463.6194943483256,61.59048735870814,10,0,51.48586748083303,186.5742289747372,130.79399464925183,306.7346676953813,158.3805863296018,253.1690900023076,179.85372928657424,241.2179762404396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.42058726742729613,1.0,0.065,0.014302973072470138,620,293,16,0,0,0.0,28,0.0,0.0
deletion,0.05,0.7,,complete,0.0,1,43,2511,2511,0.28319950755114076,0.0,2598.2227177531486,64.95556794382871,10,0,54.2624328750925,196.00640604609248,141.1440447706116,340.3329572189429,165.75119571586592,242.5375653585237,202.50872195171348,260.255299427746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.3275199408895061,1.0,0.02708333333333333,0.0001724802177544105,497,204,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,2,44,2517,2517,0.2818119672452409,0.0,2616.217650294896,65.4054412573724,10,0,54.73875442043801,197.08131584596933,148.70271755007454,332.42990776953934,167.50884802724352,258.08160904904753,205.29053470052622,251.19396327332925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.3568230625583567,1.0,0.021249999999999998,0.03292459178548621,503,225,17,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,3,45,2424,2424,0.28314644449578136,0.0,2508.8007154480633,62.72001788620158,10,0,52.400021042590026,187.6870647310986,144.12312035331982,311.7976162470932,155.66565709534316,262.1975803680046,188.52935890919082,246.07488273086574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444444,0.47871581670362157,1.0,0.110625,0.15332369243172234,579,274,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,4,46,2464,2464,0.28238427154597523,0.0,2552.0882164414106,63.80220541103527,10,0,53.32024166004139,193.4945696686151,156.2578109464729,316.74544421764085,164.54287981006902,251.28079794418005,200.26972300620812,248.06894843767435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.40403210903210907,1.0,0.05,0.02470788493641052,557,254,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,5,47,2391,2391,0.2794229632389706,0.0,2505.9076097183824,62.64769024295956,10,0,52.60610616818764,192.4585089852044,149.76984369892762,308.5296830170215,169.8115587246366,231.2202741390434,195.28380532725646,239.60582901896214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.40243383497664764,1.0,0.13947368421052633,0.04911888066688077,655,301,15,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,6,48,2555,2555,0.2825577802736391,0.0,2642.778398924362,66.06945997310905,10,0,55.184658791892915,197.5778249782803,153.99521010662966,326.17713565291797,171.71866844825004,257.817408772992,189.3223579660517,249.16323617712945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.343658756702235,1.0,0.07958333333333333,0.0020055929352840603,456,228,13,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,7,49,2422,2422,0.28012202338279507,0.0,2527.8333237217767,63.19583309304441,10,0,52.977450697699226,192.49566817591798,135.16206381843574,289.9067523042046,166.38652626841153,274.6882055618446,186.41551048992096,232.76690404847255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.46146047422557246,1.0,0.18299603174603174,0.05730284716709786,584,294,14,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,8,50,2495,2495,0.28102111433778043,0.0,2597.856702177763,64.94641755444408,10,0,54.39284418169882,196.19847447663656,150.10157642872798,341.39567005311784,163.53096962089805,274.90119612268956,190.94845046337835,257.47464022745464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.4268044204714686,1.0,0.06386363636363637,0.045565978273755095,525,226,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.0,9,51,2395,2395,0.2791967414999611,0.0,2506.0698407963264,62.65174601990816,10,0,52.57558355283304,189.75676151003228,140.2749497630773,292.52965586764515,159.42875135438834,280.9351830113978,186.0244322422389,237.01774586017808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717948717948718,0.46233661632226697,1.0,0.06875,0.03826137573621154,609,287,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,0,42,2377,2377,0.2815734065647388,0.0,2463.6194943483256,61.59048735870814,10,0,51.48586748083303,186.5742289747372,130.79399464925183,306.7346676953813,158.3805863296018,253.1690900023076,179.85372928657424,241.2179762404396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.42058726742729613,1.0,0.065,0.014302973072470138,620,293,16,0,0,0.0,28,0.0,0.0
deletion,0.05,0.7,,complete,0.5,1,43,2511,2511,0.28319950755114076,0.0,2598.2227177531486,64.95556794382871,10,0,54.2624328750925,196.00640604609248,141.1440447706116,340.3329572189429,165.75119571586592,242.5375653585237,202.50872195171348,260.255299427746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.3275199408895061,1.0,0.02708333333333333,0.0001724802177544105,497,204,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,2,44,2517,2517,0.2818119672452409,0.0,2616.217650294896,65.4054412573724,10,0,54.73875442043801,197.08131584596933,148.70271755007454,332.42990776953934,167.50884802724352,258.08160904904753,205.29053470052622,251.19396327332925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.3568230625583567,1.0,0.021249999999999998,0.03292459178548621,503,225,17,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,3,45,2424,2424,0.28314644449578136,0.0,2508.8007154480633,62.72001788620158,10,0,52.400021042590026,187.6870647310986,144.12312035331982,311.7976162470932,155.66565709534316,262.1975803680046,188.52935890919082,246.07488273086574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444444,0.47871581670362157,1.0,0.110625,0.15332369243172234,579,274,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,4,46,2464,2464,0.28238427154597523,0.0,2552.0882164414106,63.80220541103527,10,0,53.32024166004139,193.4945696686151,156.2578109464729,316.74544421764085,164.54287981006902,251.28079794418005,200.26972300620812,248.06894843767435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.40403210903210907,1.0,0.05,0.02470788493641052,557,254,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,5,47,2391,2391,0.2794229632389706,0.0,2505.9076097183824,62.64769024295956,10,0,52.60610616818764,192.4585089852044,149.76984369892762,308.5296830170215,169.8115587246366,231.2202741390434,195.28380532725646,239.60582901896214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.40243383497664764,1.0,0.13947368421052633,0.04911888066688077,655,301,15,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,6,48,2555,2555,0.2825577802736391,0.0,2642.778398924362,66.06945997310905,10,0,55.184658791892915,197.5778249782803,153.99521010662966,326.17713565291797,171.71866844825004,257.817408772992,189.3223579660517,249.16323617712945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.343658756702235,1.0,0.07958333333333333,0.0020055929352840603,456,228,13,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,7,49,2422,2422,0.28012202338279507,0.0,2527.8333237217767,63.19583309304441,10,0,52.977450697699226,192.49566817591798,135.16206381843574,289.9067523042046,166.38652626841153,274.6882055618446,186.41551048992096,232.76690404847255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.46146047422557246,1.0,0.18299603174603174,0.05730284716709786,584,294,14,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,complete,0.5,8,50,2495,2495,0.28102111433778043,0.0,2597.856702177763,64.94641755444408,10,0,54.39284418169882,196.19847447663656,150.10157642872798,341.39567005311784,163.53096962089805,274.90119612268956,190.94845046337835,257.47464022745464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.4268044204714686,1.0,0.06386363636363637,0.045565978273755095,525,226,16,0,0,0.0,0,0.0,0.0
