mode,detection,write_pref,side_host_attention,side_routing,side_task_overlap,side_deadline_pressure,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value
deletion,0.0,0.7,,overlap,0.1,0.5,42,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
deletion,0.0,0.7,,overlap,0.1,0.5,42,1,False,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8181818181818182,False,True,0,0,0.4,1,50,0.0196078431372549,0.0,1,0.0,0.0,0.0,0.0,0.058824499999999974
deletion,0.0,0.7,,overlap,0.1,0.5,42,2,False,0.07653061224489796,0.10714285714285714,0.5,0.5,0.7407407407407407,False,True,0,0,0.4,0,39,0.0,0.0,1,0.0,0.0,0.0,0.0,0.17258100124999998
deletion,0.0,0.7,,overlap,0.1,0.5,42,3,False,0.14668367346938774,0.20535714285714285,0.6875,0.6875,0.5882352941176471,False,True,0,0,0.4,0,39,0.0,0.0,1,0.0,0.0,0.0,0.0,0.04954010311249998
deletion,0.0,0.7,,overlap,0.1,0.5,42,4,False,0.23278061224489796,0.32589285714285715,0.6666666666666666,0.6666666666666666,0.5833333333333334,False,True,0,0,0.4,0,39,0.0,0.0,1,0.0,0.0,0.0,0.0,0.15776623467874998
deletion,0.0,0.7,,overlap,0.1,0.5,42,5,False,0.2936330782312925,0.41108630952380953,0.6,0.6666666666666666,0.5333333333333333,False,True,0,0,0.5,0,34,0.0,0.0,1,0.0,0.0,0.0,0.0,0.05393691837012499
deletion,0.0,0.7,,overlap,0.1,0.5,42,6,False,0.31665338010204075,0.4583147321428571,0.6,0.68,0.5416666666666666,False,True,0,0,0.5,0,45,0.0,0.0,1,0.0,0.0,0.0,0.0,0.06409095743198329
deletion,0.0,0.7,,overlap,0.1,0.5,42,7,False,0.333918606505102,0.49373604910714286,0.5,0.6875,0.5087719298245614,False,True,0,0,0.5,0,40,0.0,0.0,1,0.0,0.0,0.0,0.0,0.013006531893982215
deletion,0.0,0.7,,overlap,0.1,0.5,42,8,False,0.33079609773596935,0.4953020368303571,0.5,0.7142857142857143,0.4603174603174603,False,True,0,0,0.6,3,43,0.06521739130434782,0.25,4,0.0,0.0,0.0,0.0,0.13570330060477456
deletion,0.0,0.7,,overlap,0.1,0.5,42,9,False,0.35077564473054845,0.49647652762276784,0.5,0.7297297297297297,0.44776119402985076,False,True,0,0,0.7,1,40,0.024390243902439025,0.2,5,0.0,0.0,0.0,0.0,0.04655600275023807
deletion,0.0,0.7,,overlap,0.1,0.5,42,10,False,0.36129601926219707,0.4973573957170759,0.45,0.717948717948718,0.4305555555555556,False,True,0,0,0.7,3,45,0.0625,0.375,8,0.0,0.0,0.0,0.0,0.31035230036059636
deletion,0.0,0.7,,overlap,0.1,0.5,42,11,False,0.37677558587521925,0.4855180467878069,0.35,0.6976744186046512,0.4230769230769231,False,True,0,0,1.0,2,40,0.047619047619047616,0.3,10,0.0,0.0,0.0,0.0,0.18002984371334804
deletion,0.0,0.7,,overlap,0.1,0.5,42,12,False,0.3638316894064144,0.4453885350908552,0.35,0.717391304347826,0.4024390243902439,False,True,0,0,1.0,4,38,0.09523809523809523,0.35714285714285715,14,0.0,0.0,0.0,0.0,0.10639078232275526
deletion,0.0,0.7,,overlap,0.1,0.5,42,13,False,0.361266624197668,0.4224342584609986,0.3,0.7254901960784313,0.38636363636363635,False,True,0,0,1.0,1,35,0.027777777777777776,0.4,15,0.0,0.0,0.0,0.0,0.09974701407551852
deletion,0.0,0.7,,overlap,0.1,0.5,42,14,False,0.358449968148251,0.4043256938457489,0.25,0.7222222222222222,0.3804347826086957,False,True,0,0,1.0,1,41,0.023809523809523808,0.375,16,0.0,0.0,0.0,0.0,0.09869966539488806
deletion,0.0,0.7,,overlap,0.1,0.5,42,15,False,0.34696247611118824,0.3813692703843117,0.15,0.7017543859649122,0.38144329896907214,False,True,0,0,1.0,3,41,0.06818181818181818,0.42105263157894735,19,0.0,0.0,0.0,0.0,0.15251942420803918
deletion,0.0,0.7,,overlap,0.1,0.5,42,16,False,0.33160343603075954,0.35740853173560216,0.15,0.7258064516129032,0.3557692307692308,False,True,0,0,1.0,1,37,0.02631578947368421,0.4,20,0.0,0.0,0.0,0.0,0.14556575323578094
deletion,0.0,0.7,,overlap,0.1,0.5,42,17,False,0.31745257702306967,0.3368063988017016,0.1,0.7121212121212122,0.35454545454545455,False,True,0,0,1.0,2,41,0.046511627906976744,0.4,22,0.0,0.0,0.0,0.0,0.11901355208343092
deletion,0.0,0.7,,overlap,0.1,0.5,42,18,False,0.30058943276730227,0.3151047991012762,0.05,0.7014925373134329,0.35714285714285715,False,True,0,0,1.0,1,47,0.020833333333333332,0.45,23,0.0,0.0,0.0,0.0,0.13193514749636187
deletion,0.0,0.7,,overlap,0.1,0.5,42,19,False,0.28794207457547666,0.2988285993259572,0.0,0.6944444444444444,0.35294117647058826,False,True,0,0,1.0,1,35,0.027777777777777776,0.45,24,0.0,0.0,0.0,0.0,0.111429760925705
deletion,0.0,0.7,,overlap,0.1,0.5,42,20,False,0.27220655593160753,0.2803714494944679,0.0,0.7027027027027027,0.3442622950819672,False,True,0,0,1.0,2,43,0.044444444444444446,0.45,26,0.0,0.0,0.0,0.0,0.06884958239844491
deletion,0.0,0.7,,overlap,0.1,0.5,42,21,False,0.26040491694870566,0.2665285871208509,0.0,0.7088607594936709,0.3435114503816794,False,True,0,0,1.0,1,38,0.02564102564102564,0.45,27,0.0,0.0,0.0,0.0,0.07686648852058145
deletion,0.0,0.7,,overlap,0.1,0.5,42,22,False,0.25155368771152925,0.2561464403406382,0.0,0.7093023255813954,0.34532374100719426,False,True,0,0,1.0,2,38,0.05,0.45,29,0.0,0.0,0.0,0.0,0.12312029395835651
deletion,0.0,0.7,,overlap,0.1,0.5,42,23,False,0.24491526578364692,0.24835983025547867,0.0,0.7078651685393258,0.3402777777777778,False,True,0,0,1.0,1,43,0.022727272727272728,0.45,30,0.0,0.0,0.0,0.0,0.06273301157828176
deletion,0.0,0.7,,overlap,0.1,0.5,42,24,False,0.2399364493377352,0.242519872691609,0.0,0.7111111111111111,0.3288590604026846,False,True,0,0,1.0,1,41,0.023809523809523808,0.45,31,0.0,0.0,0.0,0.0,0.12000727988251414
deletion,0.0,0.7,,overlap,0.1,0.5,42,25,False,0.23620233700330137,0.23813990451870673,0.0,0.7111111111111111,0.3202614379084967,False,True,0,0,1.0,4,47,0.0784313725490196,0.5,35,0.0,0.0,0.0,0.0,0.1276797153083901
deletion,0.0,0.7,,overlap,0.1,0.5,42,26,False,0.23965175275247605,0.24110492838903005,0.0,0.7142857142857143,0.310126582278481,False,True,0,0,1.0,3,42,0.06666666666666667,0.45,38,0.0,0.0,0.0,0.0,0.12134991471506433
deletion,0.0,0.7,,overlap,0.1,0.5,42,27,False,0.23598881456435702,0.23707869629177253,0.0,0.71875,0.3048780487804878,False,True,0,0,1.0,3,35,0.07894736842105263,0.45,41,0.0,0.0,0.0,0.0,0.12481356885686681
deletion,0.0,0.7,,overlap,0.1,0.5,42,28,False,0.23324161092326776,0.23405902221882938,0.0,0.71,0.3076923076923077,False,True,0,0,1.0,3,39,0.07142857142857142,0.45,44,0.0,0.0,0.0,0.0,0.0866258891591245
deletion,0.0,0.7,,overlap,0.1,0.5,42,29,False,0.23118120819245083,0.23179426666412203,0.0,0.7087378640776699,0.3081395348837209,False,True,0,0,1.0,0,43,0.0,0.45,44,0.0,0.0,0.0,0.0,0.10726891856533405
deletion,0.0,0.7,,overlap,0.1,0.5,42,30,False,0.2296359061443381,0.2300956999980915,0.0,0.7142857142857143,0.3028571428571429,False,True,0,0,1.0,3,44,0.06382978723404255,0.45,47,0.0,0.0,0.0,0.0,0.12844538657167429
deletion,0.0,0.7,,overlap,0.1,0.5,42,31,False,0.22847692960825358,0.22882177499856862,0.0,0.7155963302752294,0.3,False,True,0,0,1.0,1,36,0.02702702702702703,0.4,48,0.0,0.0,0.0,0.0,0.1514221427377837
deletion,0.0,0.7,,overlap,0.1,0.5,42,32,False,0.22135769720619017,0.2216163312489265,0.0,0.7155963302752294,0.2967032967032967,False,True,0,0,1.0,0,42,0.0,0.4,48,0.0,0.0,0.0,0.0,0.11346265595045661
deletion,0.0,0.7,,overlap,0.1,0.5,42,33,False,0.21601827290464262,0.21621224843669484,0.0,0.7142857142857143,0.2994652406417112,False,True,0,0,1.0,2,43,0.044444444444444446,0.4,50,0.0,0.0,0.0,0.0,0.12358456681548932
deletion,0.0,0.7,,overlap,0.1,0.5,42,34,False,0.21201370467848196,0.21215918632752112,0.0,0.7155172413793104,0.29743589743589743,False,True,0,0,1.0,4,37,0.0975609756097561,0.35,54,0.0,0.0,0.0,0.0,0.12745227417069305
deletion,0.0,0.7,,overlap,0.1,0.5,42,35,False,0.2027602785088615,0.20286938974564084,0.0,0.725,0.29,False,True,0,0,1.0,2,40,0.047619047619047616,0.35,56,0.0,0.0,0.0,0.0,0.08468691846331997
deletion,0.0,0.7,,overlap,0.1,0.5,42,36,False,0.19582020888164614,0.19590204230923064,0.0,0.7317073170731707,0.28431372549019607,False,True,0,0,1.0,0,38,0.0,0.35,56,0.0,0.0,0.0,0.0,0.1041837950672615
deletion,0.0,0.7,,overlap,0.1,0.5,42,37,False,0.1906151566612346,0.190676531731923,0.0,0.7364341085271318,0.2796208530805687,False,True,0,0,1.0,1,37,0.02631578947368421,0.35,57,0.0,0.0,0.0,0.0,0.1306538118175748
deletion,0.0,0.7,,overlap,0.1,0.5,42,38,False,0.18671136749592598,0.18675739879894226,0.0,0.7368421052631579,0.2764976958525346,False,True,0,0,1.0,4,38,0.09523809523809523,0.3,61,0.0,0.0,0.0,0.0,0.11260646790661248
deletion,0.0,0.7,,overlap,0.1,0.5,42,39,False,0.1775335256219445,0.1775680490992067,0.0,0.7372262773722628,0.273542600896861,False,True,0,0,1.0,1,40,0.024390243902439025,0.3,62,0.0,0.0,0.0,0.0,0.10661021852910982
deletion,0.0,0.7,,overlap,0.1,0.5,43,0,False,0.0,0.0,0.0,0.0,1.0,False,True,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
deletion,0.0,0.7,,overlap,0.1,0.5,43,1,False,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8518518518518519,False,True,0,0,0.0,0,50,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
deletion,0.0,0.7,,overlap,0.1,0.5,43,2,False,0.022727272727272728,0.022727272727272728,0.25,0.25,0.7352941176470589,False,True,0,0,0.1,0,39,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
deletion,0.0,0.7,,overlap,0.1,0.5,43,3,False,0.07954545454545454,0.07954545454545454,0.35,0.38095238095238093,0.6341463414634146,False,True,0,0,0.2,0,37,0.0,0.0,0,0.0,0.0,0.0,0.0,0.24499999999999997
deletion,0.0,0.7,,overlap,0.1,0.5,43,4,False,0.1471590909090909,0.1471590909090909,0.25,0.375,0.6041666666666666,False,True,0,0,0.6,0,38,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14577499999999996
deletion,0.0,0.7,,overlap,0.1,0.5,43,5,False,0.17286931818181817,0.17286931818181817,0.3,0.42857142857142855,0.5357142857142857,False,True,0,0,0.7,2,38,0.05,0.0,2,0.0,0.0,0.0,0.0,0.12405581602749997
deletion,0.0,0.7,,overlap,0.1,0.5,43,6,False,0.17786627435064936,0.20465198863636364,0.3,0.4666666666666667,0.5084745762711864,False,True,0,0,0.8,1,41,0.023809523809523808,0.0,3,0.0,0.0,0.0,0.0,0.08736555290142399
deletion,0.0,0.7,,overlap,0.1,0.5,43,7,False,0.17625684862012989,0.22848899147727275,0.2,0.45714285714285713,0.5151515151515151,False,True,0,0,0.9,2,41,0.046511627906976744,0.0,5,0.0,0.0,0.0,0.0,0.10547291349580397
