mode,detection,write_pref,side_host_attention,side_routing,side_task_overlap,side_deadline_pressure,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.0,0.7,,overlap,0.1,0.5,0,42,2946,2946,0.2905131777557207,0.0,2983.282500955302,74.58206252388256,10,0,61.74948532221465,211.2712382925294,154.26515236560905,381.53632654237134,171.20702700920074,291.078674943884,210.05819793395278,292.1666739961265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.04264254105485362,1.0,0.31445488721804515,0.1775335256219445,64,25,0,0,0,0.0,62,0.0,0.10661021852910982
deletion,0.0,0.7,,overlap,0.1,0.5,1,43,2921,2921,0.2886616365994009,0.0,2976.8920705550727,74.42230176387682,10,0,61.78211972220788,213.03504246585356,161.97247351343213,382.63338288902617,172.0052794518501,295.24287427008704,210.93971200404363,296.0680808366523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.05529637418838318,1.0,0.2561547662863452,0.20608761998765882,63,23,0,0,0,0.0,60,0.0,0.08985250263063568
deletion,0.0,0.7,,overlap,0.1,0.5,2,44,2936,2936,0.2899239984878949,0.0,2979.5508588018297,74.48877147004575,10,0,61.727966435347795,213.7328316939848,163.62723582315112,378.12542972420476,174.47188343832144,296.5237750049974,214.69080414443252,289.6412185802447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.046321453330812376,1.0,0.30810064935064935,0.1007344104979562,64,16,0,0,0,0.0,61,0.0,0.08134349117744603
deletion,0.0,0.7,,overlap,0.1,0.5,3,45,2923,2923,0.29149200646459683,0.0,2950.7154218131764,73.7678855453294,10,0,60.99457122979918,209.0300587392725,154.92923762543313,379.77474376583723,167.73202404322294,292.6989144679048,207.96209125371593,291.62371870588345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.053246746334447426,1.0,0.4469597763347763,0.21809483730761411,60,28,0,0,0,0.0,60,0.0,0.08332277088944948
deletion,0.0,0.7,,overlap,0.1,0.5,4,46,2883,2883,0.29220514999442665,0.0,2903.478571822084,72.58696429555211,10,0,59.958193288884715,206.5146466702035,157.5049843582337,370.30502209521245,167.38263873014566,280.51499230953857,210.00961002950143,285.16301599106055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.07479101968962129,1.0,0.6169456564677154,0.2979772380891636,107,70,0,0,0,0.0,105,0.0,0.13271329365249657
deletion,0.0,0.7,,overlap,0.1,0.5,5,47,2920,2920,0.28870960793093936,0.0,2974.8618353939,74.3715458848475,10,0,61.731230452761636,212.52417378044115,155.10009476969276,374.61896616529754,173.21960544309857,304.47126547379224,214.85326810555122,283.29978578323835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.06084907310517067,1.0,0.5398008241758242,0.21100948626684565,84,46,0,0,0,0.0,83,0.0,0.05756917848031655
deletion,0.0,0.7,,overlap,0.1,0.5,6,48,2942,2942,0.28943089865203786,0.0,2989.7680313068663,74.74420078267165,10,0,61.97553033255476,213.40894706832518,161.1797177478302,376.2914731998431,172.60226854178828,299.20741886299714,212.7660233684073,293.2512086005589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03316181955382854,1.0,0.25634772026219393,0.1694337890105582,52,19,0,0,0,0.0,52,0.0,0.09976412946472046
deletion,0.0,0.7,,overlap,0.1,0.5,7,49,2909,2909,0.2911884603500158,0.0,2941.1189668942498,73.52797417235624,10,0,60.83585196747781,209.66346187698952,149.93429569566297,377.5750795979333,168.4133708383558,289.63105927159836,216.43430875027477,290.0445128589437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06896771791893744,1.0,0.5065163912454934,0.29366291691086405,89,51,0,0,0,0.0,87,0.0,0.06997522389736725
deletion,0.0,0.7,,overlap,0.1,0.5,8,50,2941,2941,0.2874081432206569,0.0,3009.0158486926307,75.22539621731576,10,0,62.55046613801842,214.50247121443743,166.34060586909087,384.2112103832124,176.03021841944062,299.8447794307918,209.47389664737645,289.76236277478137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.0596655922439797,1.0,0.35418067226890754,0.28452350754767325,83,43,0,0,0,0.0,80,0.0,0.09716370403485144
deletion,0.0,0.7,,overlap,0.1,0.5,9,51,2918,2918,0.2883267906686796,0.0,2976.706453675913,74.41766134189783,10,0,61.8031309904679,213.6994937913201,157.98341633963022,372.165920165928,175.09967224424426,304.40445348153264,214.68471893612866,283.6538660150371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.04771355203591997,1.0,0.4929292929292929,0.27481076800114396,84,44,0,0,0,0.0,81,0.0,0.08711219303552507
deletion,0.0,0.7,,overlap,0.1,1.0,0,42,2848,2848,0.29060821568263917,0.0,2882.8507479289597,72.07126869822399,10,0,59.66031611555752,207.971664208587,156.54187838859326,374.7851227463058,167.80782378529483,290.09828932208785,208.9444659855792,286.91347203321686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023255813953488,0.07282258348958351,1.0,0.5271590909090909,0.32781821026581087,165,90,0,0,0,0.0,162,0.0,0.09369780641509187
deletion,0.0,0.7,,overlap,0.1,1.0,1,43,2833,2833,0.2881113930303268,0.0,2892.404495295718,72.31011238239294,10,0,60.07366162634453,207.06597786761048,154.73434819986434,377.22702297950696,170.53618029802251,271.33750116799234,208.4076187758918,283.8487884720429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.11649611335747408,1.0,0.3631991838570786,0.23965226375009813,167,71,0,0,0,0.0,160,0.0,0.1173255093992154
deletion,0.0,0.7,,overlap,0.1,1.0,2,44,2870,2870,0.2888370706352507,0.0,2922.980014247308,73.07450035618271,10,0,60.64647100727363,207.74710146497145,153.1053113639499,370.0284377640367,169.18051772568853,291.3043328813283,215.52226249135128,277.7806564614518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.0673009639602491,1.0,0.3564890780873753,0.22522039792849372,122,51,0,0,0,0.0,117,0.0,0.09320036637591947
deletion,0.0,0.7,,overlap,0.1,1.0,3,45,2779,2779,0.29081691286092354,0.0,2810.9977916869866,70.27494479217467,10,0,58.155817402558306,202.0061315753739,150.17413422013553,370.453527651105,164.27158806170647,276.4191549725081,207.28962592244437,275.36150324427393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11389877350499067,1.0,0.5004135101010101,0.2895915963841188,199,109,0,0,0,0.0,194,0.0,0.053691073476832475
deletion,0.0,0.7,,overlap,0.1,1.0,4,46,2870,2870,0.29085454423967644,0.0,2903.3748385279987,72.58437096319997,10,0,60.069848191999846,208.26698460564361,157.72213223948563,377.6688053539396,169.99080789342221,276.26250072684246,212.59286414646428,286.934816911298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.1120553748602529,1.0,0.5446180555555555,0.2682218304401372,141,82,0,0,0,0.0,137,0.0,0.10314450027887427
