mode,detection,write_pref,side_defender_error,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value,final_host_users
deletion,0.05,0.7,0.0,0,42,2005,2005,0.28346662366614256,0.0,2073.7493149335105,51.843732873337764,10,0,43.30145043922086,164.5039681763893,125.7502889115078,252.93286325930927,143.18759205866843,142.09884834915584,196.44678270700098,223.6842491778628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6925575847410769,1.0,0.4111568430725815,0.3005265118209998,965,482,10,0,0,-0.0511,680,0.0,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,1,43,2020,2020,0.2819904322242594,0.0,2100.5889670876154,52.51472417719039,10,0,43.958499031988644,165.48987486194707,122.28738734715033,244.56299745782522,141.09084049532217,205.56720546154378,172.72948313806432,215.0285085239648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7906976744186046,0.7066714007581847,1.0,0.34881032414650376,0.19859772949531607,964,398,16,0,0,-0.059,575,0.0,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,2,44,2027,2027,0.2763538822854598,0.0,2145.6661146182155,53.641652865455384,10,0,45.22253278288863,173.18830158737674,138.93767665346792,253.1500510867633,157.23582036396706,181.8915108353014,184.15339007410844,211.21159639027766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6767579909749358,1.0,0.3575895492193438,0.1262866505240843,1001,488,6,0,0,-0.052000000000000005,571,0.0,0.0,"[5, 3, 2, 0]"
deletion,0.05,0.7,0.0,3,45,1890,1890,0.27864603348347294,0.0,1990.1123823372825,49.75280955843206,10,0,41.85624653933179,160.97886200363462,130.2427581042157,219.16101994201173,142.89620602695106,194.72053632714022,170.19593192102417,193.74745781323765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372093023255814,0.7332290867846312,1.0,0.49333333333333335,0.285388478011547,1085,574,0,0,0,-0.065,1059,0.0,0.0,"[10, 0, 0, 0]"
deletion,0.05,0.7,0.0,4,46,1982,1982,0.28145263910581286,0.0,2063.780629145235,51.59451572863087,10,0,43.2111949748598,166.70680044012425,126.6474710040534,257.36932987668456,143.81545271531903,187.57917948611436,183.1319052469774,216.73210168811823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.6863602865361154,1.0,0.36726651104973046,0.24009259729546534,1008,523,11,0,0,-0.0615,622,0.0,0.0,"[7, 3, 0, 0]"
deletion,0.05,0.7,0.0,5,47,1971,1971,0.27555235810725914,0.0,2094.1439050125537,52.35359762531384,10,0,44.201291323898594,170.4120294180933,136.37466639014602,268.4128498512298,145.2156683610434,268.4128498512298,190.58522746517713,186.91410334913286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222222222222222,0.6918096758762293,1.0,0.4144186942281828,0.2596270488110992,1038,536,9,0,0,-0.064,698,0.0,0.0,"[9, 1, 0, 0]"
deletion,0.05,0.7,0.0,6,48,2211,2211,0.27951274326450665,0.0,2309.4592365292056,57.73648091323014,10,0,48.416448133211844,182.88185094107993,135.07967076460426,292.33755434161526,152.02845966936675,238.9236383145288,206.99269627002045,235.3657084050248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.6523425152499432,1.0,0.3381595033865544,0.1813607950917818,821,424,6,0,0,-0.027000000000000003,575,0.0,0.0,"[8, 1, 1, 0]"
deletion,0.05,0.7,0.0,7,49,2152,2152,0.28128267854432554,0.0,2240.8674905773905,56.02168726443476,10,0,46.91963207580554,178.7754558777892,125.94366720876361,327.98145100259353,146.9506420357503,235.7967770352947,196.6350815569717,236.80942398556192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.6868398987949271,1.0,0.3716445357990829,0.24140895792040654,867,440,8,0,0,-0.041,606,0.0,0.0,"[9, 0, 1, 0]"
deletion,0.05,0.7,0.0,8,50,2128,2128,0.2767114212294306,0.0,2243.9556788130976,56.09889197032744,10,0,47.22222584744399,177.02417296450142,152.13976161197874,255.66993837295954,157.12228059200558,229.3225392225956,182.8792017624453,207.65315255396996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.7088424132345452,1.0,0.4039175510923164,0.2632495517295232,899,465,4,0,0,-0.063,796,0.0,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.0,9,51,2026,2026,0.27694357865122005,0.0,2141.5330922347657,53.538327305869146,10,0,45.10979683043422,171.78301445248871,124.22637038176757,234.81579474884634,151.90820247846526,208.4032907547457,187.27206368128287,205.35278760903356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.6742946078311932,1.0,0.3796501519470762,0.20931039509114566,973,502,2,0,0,-0.063,861,0.0,0.0,"[8, 2, 0, 0]"
deletion,0.05,0.7,0.5,0,42,1922,1922,0.2820203972015689,0.0,1997.0861128371514,49.92715282092878,10,0,41.779003318739704,162.16879070407347,125.4275732743156,233.63056412077992,141.94584459388165,180.8183997814166,176.52588490076002,206.33427739763408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803921568627451,0.679405179847253,1.0,0.435214148877942,0.32784890700206754,1041,577,0,0,0,-0.0625,1013,0.0,0.0,"[1, 9, 0, 0]"
deletion,0.05,0.7,0.5,1,43,2057,2057,0.2780397038425709,0.0,2162.822036654303,54.07055091635757,10,0,45.46241284277355,172.80230250716173,120.67174855895067,286.05037688194085,147.4320873698528,194.3708273818089,189.13353169657483,229.96307088705828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8297872340425532,0.700668533869363,1.0,0.40536740908536795,0.1658903297344315,963,468,4,0,0,-0.0126,545,0.0,0.0,"[3, 2, 0, 5]"
deletion,0.05,0.7,0.5,2,44,1895,1895,0.27693539438570075,0.0,2005.8768373132477,50.14692093283119,10,0,42.275789332742534,163.3239803048456,133.7522377328961,223.5696435524561,144.17461335749462,204.29734295471468,195.71241727321603,184.09118133777883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.7104682511597404,1.0,0.4588839285714286,0.27427325316126433,1079,553,0,0,0,0.0,1044,0.0,0.0,"[0, 10, 0, 0]"
deletion,0.05,0.7,0.5,3,45,1890,1890,0.27864603348347294,0.0,1990.1123823372825,49.75280955843206,10,0,41.85624653933179,160.97886200363462,130.2427581042157,219.16101994201173,142.89620602695106,194.72053632714022,170.19593192102417,193.74745781323765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372093023255814,0.7332290867846312,1.0,0.49333333333333335,0.285388478011547,1085,574,0,0,0,0.0,1059,0.0,0.0,"[10, 0, 0, 0]"
