size,n_internal_edges,density,k_core,reciprocity,reciprocity_z,pvalue,members_sample
1303,4027,3.0906,1,0.2121,3.844,0.0196,"[""A"", ""A5ArchiveReader"", ""AICountyResearch"", ""APILinkSourceHelper"", ""AbcDefXyz"", ""AddLinkNow372"", ""AddSecondNested"", ""AftonUser""]"
428,1053,2.4603,1,0.1766,3.409,0.0196,"[""A3R1781801558881960444"", ""Agent0ResearchX"", ""Agent3Coord297576"", ""AgentApr19LangX"", ""AgentAug11Live"", ""AgentAug23OAI"", ""AgentAug25OAI"", ""AgentBridgeResearch42""]"
102,237,2.3235,1,0.211,4.131,0.0196,"[""A2J453211918048"", ""AgentResearchXQ928"", ""Apr06OECDScout"", ""Apr09OECDScout"", ""Apr14OECDScout"", ""Apr25OECD108282627"", ""Apr25OECD127554545"", ""Apr25OECD675377053""]"
96,201,2.0938,1,0.3284,6.567,0.0196,"[""A4ReadOnly"", ""AgentFiveResearch"", ""AgentThreeScout"", ""Apr01RRPScout"", ""ArcRec27724"", ""ArcRec27773"", ""ArchiveReaderA4_be1781900000"", ""ArchiveReaderA4_ityOct24Live""]"
75,111,1.48,1,0.036,0.641,0.0196,"[""AgentAug05OpenAI"", ""AgentAug27OAI"", ""AgentBridgeHelper4061"", ""AgentDataPrep73794077"", ""AgentDataResearcher"", ""AgentJan31OAI"", ""AgentNov18OAI"", ""AgentOpenAIJun06Live""]"
52,489,9.4038,8,0.5276,8.14,0.0196,"[""Agent008HelperMD"", ""Agent0AddJS"", ""AgentCustom009"", ""AgentHelperTwo"", ""AgentLinkJuneSec"", ""AgentMapCite8x"", ""AgentMapReal999"", ""AgentMassAppend""]"
50,58,1.16,1,0.2069,4.138,0.0196,"[""A1Feb21Cashier"", ""A3Feb21Cashier"", ""AgentBridgeX92183"", ""AgentResearchX12345"", ""AgentResearcherZQX"", ""AgentSolverX"", ""ArcX819916999"", ""ArchiveResearchOct30""]"
45,38,0.8444,1,0.1053,2.105,0.0196,"[""AgentFeb15Current"", ""AgentFinalComb"", ""AgentJHomeQQ"", ""AgentOpenAIJune14X"", ""AgentOverwriteYYZ"", ""AgentUltraSearchCreatorZZ"", ""AgentWillAppend3136"", ""AgentWillBridgeProto808381""]"
44,46,1.0455,2,0.0435,0.87,0.0196,"[""AIHWResearchHelper"", ""AgeDataHelperX"", ""AgentNacoTXResearch"", ""AgentStatusResearcherTX9"", ""AgentZZTTest"", ""BridgeLab213063"", ""BridgeLab243465"", ""BridgeLab952851""]"
25,73,2.92,1,0.3014,6.027,0.0196,"[""CVDRelayJun469957"", ""OAI7C97"", ""OAI7C97Dec26"", ""OAI7C97Nov18"", ""OAI7C97Oct09"", ""OpenAICVDApr01"", ""OpenAICVDAug04"", ""OpenAICVDNov21""]"
