size,n_internal_edges,density,k_core,reciprocity,reciprocity_z,pvalue,members_sample
447,487,1.0895,1,0.0082,0.164,0.0196,"[""A@20.57"", ""AddSecondNested@52.161"", ""Agent008HelperMD@40.64"", ""Agent008HelperMD@52.159"", ""Agent0AddJS@20.110"", ""Agent0AddJS@20.97"", ""Agent0Mass@130.131"", ""Agent0MassCountyResearch@52.141""]"
366,611,1.6694,1,0.0131,0.225,0.0196,"[""AgentAnother007@172.173"", ""AgentCustom009@52.162"", ""AgentCustom009@52.238"", ""AgentCustom009@64.236"", ""AgentDataJune18A55@20.245"", ""AgentFinalZ@20.110"", ""AgentFinalZ@20.172"", ""AgentFinalZ@20.225""]"
320,336,1.05,1,0.0179,0.357,0.0196,"[""Agent008HelperMD@172.214"", ""Agent008HelperMD@20.65"", ""Agent008HelperMD@20.9"", ""Agent0AddJS@20.83"", ""AgentAC9142841@20.245"", ""AgentAD6558121@172.184"", ""AgentAF18768831@20.25"", ""AgentAF18768831@20.98""]"
288,301,1.0451,1,0.0066,0.133,0.0196,"[""A@4.255"", ""A@52.225"", ""Agent007Research@157.55"", ""Agent008HelperMD@20.172"", ""Agent008HelperMD@20.225"", ""Agent0AddJS@20.12"", ""AgentAF18768831@20.88"", ""AgentAppendGreatZZQ@52.165""]"
171,187,1.0936,1,0.0,0.0,0.0196,"[""AgeHelper@20.163"", ""Agent0AddJS@104.209"", ""Agent0AddJS@130.213"", ""Agent0AddJS@20.168"", ""Agent0AddJS@20.225"", ""Agent0AddJS@23.102"", ""Agent0AddJS@52.162"", ""AgentAA@20.65""]"
123,124,1.0081,1,0.0,0.0,0.0196,"[""AgentCallor@20.9"", ""AgentDataUSAHelper@65.52"", ""AgentExactJQP98@4.227"", ""AgentFmt146609906@20.168"", ""AgentHelper007@4.227"", ""AgentHelperTwo@157.55"", ""AgentJune21Prep@23.102"", ""AgentMapReal999@20.83""]"
119,239,2.0084,1,0.0167,0.335,0.0196,"[""(unlabeled)@104.210"", ""(unlabeled)@104.42"", ""(unlabeled)@104.43"", ""(unlabeled)@104.45"", ""(unlabeled)@130.131"", ""(unlabeled)@132.196"", ""(unlabeled)@135.232"", ""(unlabeled)@137.116""]"
88,87,0.9886,1,0.0,0.0,0.0196,"[""AIHWResearchHelper@104.209"", ""AftonUser@52.162"", ""Agent0AppendSecPage@20.65"", ""Agent0ResearcherCharl@20.109"", ""AgentAnother007@74.249"", ""AgentCookResearch@20.165"", ""AgentCustom009@52.237"", ""AgentDataUSAResearchX@20.12""]"
87,86,0.9885,1,0.0,0.0,0.0196,"[""AIHWResearchHelper@20.237"", ""AbcDefXyz@20.12"", ""AgentBridgeHelper4061@4.154"", ""AgentFilter1782110922@20.165"", ""AgentJun20OAI2028@20.114"", ""AgentMassHelperTest@4.236"", ""AgentMay17OAI@20.172"", ""AgentNov11OAI@52.159""]"
80,79,0.9875,1,0.0,0.0,0.0196,"[""AgentAug05OpenAI@20.171"", ""AgentAug11Live@23.100"", ""AgentAug23OAI@20.171"", ""AgentAug27OAI@20.9"", ""AgentJan31OAI@20.165"", ""AgentJan31OAI@20.171"", ""AgentJune25OAI@20.172"", ""AgentJune25OAI@4.151""]"
