simulation_id,epoch,timestamp,total_interactions,accepted_interactions,rejected_interactions,toxicity_rate,quality_gap,avg_p,total_welfare,avg_payoff,payoff_std,gini_coefficient,total_posts,total_votes,total_tasks_completed,n_agents,n_frozen,n_quarantined,avg_reputation,reputation_std,n_edges,avg_degree,avg_clustering,n_components,ecosystem_threat_level,active_threats,contagion_depth,ecosystem_collusion_risk,n_flagged_pairs,avg_coordination_score,avg_synergy_score,tasks_completed
baseline,0,2026-03-28T09:39:03.810081,5,5,0,0.2539936963271273,0.0,0.7460063036728727,5.547260676092177,0.6163622973435753,0.060922061381165446,0.053687082668451874,0,0,0,5,0,0,0.2460063036728727,0.2205596859309746,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,1,2026-03-28T09:39:03.813573,2,2,0,0.2861956620807524,0.0,0.7138043379192476,2.282826027515486,0.5707065068788715,0.04917180619757394,0.043079766574319445,0,0,0,5,0,0,0.3315280388405718,0.2796670428255309,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,2,2026-03-28T09:39:03.818551,3,3,0,0.27064272161679404,0.0,0.729357278383206,2.9150250268831783,0.5830050053766357,0.057017825615199726,0.05119854225531615,0,0,0,5,0,0,0.4691424058704953,0.3233973881817187,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,3,2026-03-28T09:39:03.824333,5,5,0,0.32470094130006166,0.0,0.6752990586999383,4.311953778014071,0.5389942222517589,0.18136668978532547,0.17730601472954732,0,0,0,5,0,0,0.6444414645704335,0.42220689135951517,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,4,2026-03-28T09:39:03.830769,4,4,0,0.30699700024767074,0.0,0.6930029997523293,3.2230908907373914,0.5371818151228985,0.1373008415168901,0.13409995851868528,0,0,0,5,0,0,0.7988438643722968,0.5047182693162059,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,5,2026-03-28T09:39:03.840183,10,10,0,0.35644137979382384,0.0,0.6435586202061762,8.591772809625622,0.4521985689276644,0.17398610549872998,0.21555020755134957,0,0,0,5,0,0,1.0859611047846491,0.6780618419668191,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,6,2026-03-28T09:39:03.848442,8,8,0,0.3255372268075605,0.0,0.6744627731924395,6.9009765147005915,0.49292689390718497,0.1513157482189422,0.16911759856442402,0,0,0,5,0,0,1.3651015418925527,0.9136403865388405,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,7,2026-03-28T09:39:03.857245,5,5,0,0.266278043867719,0.0,0.733721956132281,5.287591348095011,0.5875101497883346,0.15477382415748037,0.13221660498050547,0,0,0,5,0,0,1.5988234980248337,0.9352369420068528,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,8,2026-03-28T09:39:03.867236,5,5,0,0.2868297278470646,0.0,0.7131702721529354,5.34430080066918,0.5938112000743533,0.11296868948003844,0.10056068317846369,0,0,0,5,0,0,1.8119937701777693,1.024511352567952,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,9,2026-03-28T09:39:03.877059,6,6,0,0.3389651467913707,0.0,0.6610348532086293,4.630905043694394,0.4630905043694395,0.11512208448540957,0.13632341847047869,0,0,0,5,0,0,2.0052355940281243,1.1016601058924562,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
baseline,10,2026-03-28T09:39:03.888038,4,4,0,0.25827760995764704,0.0,0.741722390042353,4.54153819819274,0.6487911711703914,0.12934066573839018,0.09525994637207294,0,0,0,5,0,0,2.198613506062007,1.1615538178681892,0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0.0,0
