scenario,seed,epoch,interactions,accepted,toxicity,surplus,net_welfare
baseline,42,0,5,5,0.2540,6.19,3.65
baseline,42,1,2,2,0.2862,2.28,1.14
baseline,42,2,3,3,0.2706,3.56,1.94
baseline,42,3,5,5,0.3247,5.13,1.88
baseline,42,4,4,4,0.3070,4.32,1.86
baseline,42,5,10,10,0.3564,9.31,2.18
baseline,42,6,8,8,0.3255,8.19,2.98
baseline,42,7,5,5,0.2663,6.01,3.34
baseline,42,8,5,5,0.2868,5.70,2.83
baseline,42,9,6,6,0.3390,5.90,1.83
baseline,42,10,4,4,0.2583,4.90,2.83
baseline,42,11,6,6,0.2489,7.52,4.53
baseline,42,12,5,5,0.3063,5.41,2.34
baseline,42,13,9,9,0.2606,10.96,6.27
baseline,42,14,7,7,0.2562,8.62,5.03
baseline,42,15,2,2,0.3446,1.93,0.55
baseline,42,16,5,5,0.3154,5.27,2.11
baseline,42,17,4,4,0.3348,3.98,1.30
baseline,42,18,9,9,0.2863,10.27,5.12
baseline,42,19,8,8,0.3172,8.39,3.31
baseline,42,20,6,6,0.3060,6.49,2.82
baseline,42,21,6,6,0.2715,7.11,3.85
baseline,42,22,9,9,0.2705,10.70,5.83
baseline,42,23,2,2,0.2240,2.66,1.76
baseline,42,24,4,4,0.3043,4.35,1.91
baseline,42,25,5,5,0.2841,5.74,2.90
baseline,42,26,4,4,0.2970,4.44,2.06
baseline,42,27,5,5,0.2778,5.83,3.05
baseline,42,28,7,7,0.2936,7.83,3.72
baseline,42,29,5,5,0.3542,4.69,1.15
proxy_drift,42,0,9,9,0.2718,9.68,5.77
proxy_drift,42,1,10,10,0.3456,8.25,2.72
proxy_drift,42,2,10,9,0.3757,6.50,1.10
proxy_drift,42,3,11,11,0.3892,7.44,0.59
proxy_drift,42,4,13,13,0.3754,9.41,1.60
proxy_drift,42,5,13,13,0.3784,9.28,1.41
proxy_drift,42,6,9,9,0.4249,5.00,-1.12
proxy_drift,42,7,7,7,0.4400,3.53,-1.40
proxy_drift,42,8,14,14,0.4393,7.09,-2.75
proxy_drift,42,9,8,8,0.4370,4.11,-1.48
proxy_drift,42,10,10,10,0.4591,4.39,-2.95
proxy_drift,42,11,5,5,0.4506,2.34,-1.27
proxy_drift,42,12,14,13,0.4369,6.69,-2.40
proxy_drift,42,13,13,13,0.4417,6.48,-2.71
proxy_drift,42,14,10,10,0.4434,4.93,-2.17
proxy_drift,42,15,14,14,0.4553,6.33,-3.87
proxy_drift,42,16,10,10,0.4599,4.36,-3.00
proxy_drift,42,17,12,12,0.4610,5.19,-3.66
proxy_drift,42,18,9,9,0.4401,4.53,-1.80
proxy_drift,42,19,15,15,0.4466,7.22,-3.50
proxy_drift,42,20,8,8,0.4517,3.71,-2.07
proxy_drift,42,21,11,11,0.4325,5.82,-1.79
proxy_drift,42,22,10,10,0.4645,4.21,-3.23
proxy_drift,42,23,11,11,0.4563,4.93,-3.10
proxy_drift,42,24,13,13,0.4534,5.96,-3.47
proxy_drift,42,25,10,10,0.4528,4.61,-2.64
proxy_drift,42,26,8,8,0.4436,3.94,-1.74
proxy_drift,42,27,10,10,0.4534,4.58,-2.67
proxy_drift,42,28,11,11,0.4514,5.12,-2.83
proxy_drift,42,29,11,11,0.4316,5.86,-1.74
trust_erosion,42,0,14,14,0.2928,14.06,7.51
trust_erosion,42,1,17,17,0.3390,14.40,5.18
trust_erosion,42,2,13,12,0.2885,12.23,6.69
trust_erosion,42,3,8,8,0.3122,7.51,3.51
trust_erosion,42,4,13,13,0.3019,12.66,6.38
trust_erosion,42,5,11,10,0.2623,11.08,6.89
trust_erosion,42,6,13,13,0.2572,14.63,9.28
trust_erosion,42,7,8,8,0.3319,6.97,2.73
trust_erosion,42,8,14,14,0.2857,14.40,8.00
trust_erosion,42,9,13,13,0.3137,12.13,5.61
trust_erosion,42,10,12,12,0.3066,11.49,5.60
trust_erosion,42,11,13,11,0.3467,9.03,2.93
trust_erosion,42,12,16,14,0.2737,14.97,8.84
trust_erosion,42,13,16,16,0.2970,15.84,8.24
trust_erosion,42,14,16,15,0.2830,15.57,8.78
trust_erosion,42,15,12,12,0.2882,12.24,6.71
trust_erosion,42,16,9,9,0.2993,8.84,4.53
trust_erosion,42,17,8,8,0.2865,8.21,4.54
trust_erosion,42,18,18,17,0.2811,17.75,10.10
trust_erosion,42,19,15,13,0.3138,12.13,5.60
trust_erosion,42,20,14,12,0.3192,10.98,4.85
trust_erosion,42,21,14,14,0.3241,12.57,5.31
trust_erosion,42,22,13,12,0.2871,12.29,6.78
trust_erosion,42,23,10,9,0.3270,7.99,3.28
trust_erosion,42,24,15,14,0.2662,15.33,9.37
trust_erosion,42,25,13,12,0.2660,13.15,8.04
trust_erosion,42,26,8,8,0.2858,8.23,4.57
trust_erosion,42,27,8,8,0.2938,8.01,4.25
trust_erosion,42,28,14,14,0.3199,12.77,5.61
trust_erosion,42,29,15,13,0.2723,13.96,8.30
combined,42,0,13,13,0.2979,12.83,6.64
combined,42,1,11,11,0.3305,9.64,3.82
combined,42,2,12,12,0.3473,9.83,3.16
combined,42,3,8,8,0.3154,7.42,3.38
combined,42,4,13,13,0.3866,8.91,0.87
combined,42,5,13,13,0.3627,9.97,2.43
combined,42,6,12,12,0.4236,6.72,-1.42
combined,42,7,3,3,0.4392,1.52,-0.59
combined,42,8,12,12,0.4409,6.01,-2.45
combined,42,9,10,10,0.4542,4.56,-2.71
combined,42,10,11,10,0.4514,4.65,-2.57
combined,42,11,6,6,0.4454,2.91,-1.36
combined,42,12,10,10,0.4383,5.10,-1.91
combined,42,13,12,12,0.4437,5.90,-2.62
combined,42,14,10,10,0.4419,4.98,-2.09
combined,42,15,8,8,0.4473,3.83,-1.89
combined,42,16,6,6,0.4599,2.62,-1.80
combined,42,17,7,7,0.4584,3.09,-2.04
