cell_id,family,metric,treatment_mean,control_mean,paired_difference_mean,n,ci_low,ci_high
detection-000,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-000,detection,completion_rate,0.7792447916666667,0.7792447916666667,0.0,200,0.0,0.0
detection-000,detection,deadline_miss_rate,0.2207552083333333,0.2207552083333333,0.0,200,0.0,0.0
detection-000,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,mean_submission_time,4.54772156733552,4.54772156733552,0.0,200,0.0,0.0
detection-000,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,post_intervention_writes,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,screen_agreement,0.7935612689479234,0.7935612689479234,0.0,200,0.0,0.0
detection-000,detection,screen_alarm,0.495,0.495,0.0,200,0.0,0.0
detection-000,detection,screen_comparable_pairs,42.44,42.44,0.0,200,0.0,0.0
detection-000,detection,screen_observed_submissions,37.72,37.72,0.0,200,0.0,0.0
detection-000,detection,shared_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,submissions,149.615,149.615,0.0,200,0.0,0.0
detection-000,detection,task_success_rate,0.7006510416666667,0.7006510416666667,0.0,200,0.0,0.0
detection-000,detection,total_reads,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,total_writes,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-000,detection,useful_reads,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-001,detection,completion_rate,0.7792447916666667,0.7792447916666667,0.0,200,0.0,0.0
detection-001,detection,deadline_miss_rate,0.2207552083333333,0.2207552083333333,0.0,200,0.0,0.0
detection-001,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,mean_submission_time,4.54772156733552,4.54772156733552,0.0,200,0.0,0.0
detection-001,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,post_intervention_writes,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,screen_agreement,0.8042214993554266,0.8042214993554266,0.0,200,0.0,0.0
detection-001,detection,screen_alarm,0.545,0.545,0.0,200,0.0,0.0
detection-001,detection,screen_comparable_pairs,663.85,663.85,0.0,200,0.0,0.0
detection-001,detection,screen_observed_submissions,149.615,149.615,0.0,200,0.0,0.0
detection-001,detection,shared_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,submissions,149.615,149.615,0.0,200,0.0,0.0
detection-001,detection,task_success_rate,0.7006510416666667,0.7006510416666667,0.0,200,0.0,0.0
detection-001,detection,total_reads,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,total_writes,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-001,detection,useful_reads,0.0,0.0,0.0,200,0.0,0.0
detection-002,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-002,detection,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
detection-002,detection,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
detection-002,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-002,detection,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
detection-002,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-002,detection,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
detection-002,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-002,detection,screen_agreement,0.8448082368305944,0.8448082368305944,0.0,200,0.0,0.0
detection-002,detection,screen_alarm,0.715,0.715,0.0,200,0.0,0.0
detection-002,detection,screen_comparable_pairs,66.005,66.005,0.0,200,0.0,0.0
detection-002,detection,screen_observed_submissions,44.155,44.155,0.0,200,0.0,0.0
detection-002,detection,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-002,detection,submissions,175.435,175.435,0.0,200,0.0,0.0
detection-002,detection,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
detection-002,detection,total_reads,71.715,71.715,0.0,200,0.0,0.0
detection-002,detection,total_writes,107.435,107.435,0.0,200,0.0,0.0
detection-002,detection,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-002,detection,useful_reads,66.89,66.89,0.0,200,0.0,0.0
detection-003,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-003,detection,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
detection-003,detection,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
detection-003,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-003,detection,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
detection-003,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-003,detection,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
detection-003,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-003,detection,screen_agreement,0.837521870170048,0.837521870170048,0.0,200,0.0,0.0
detection-003,detection,screen_alarm,0.725,0.725,0.0,200,0.0,0.0
detection-003,detection,screen_comparable_pairs,1031.985,1031.985,0.0,200,0.0,0.0
detection-003,detection,screen_observed_submissions,175.435,175.435,0.0,200,0.0,0.0
detection-003,detection,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-003,detection,submissions,175.435,175.435,0.0,200,0.0,0.0
detection-003,detection,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
detection-003,detection,total_reads,71.715,71.715,0.0,200,0.0,0.0
detection-003,detection,total_writes,107.435,107.435,0.0,200,0.0,0.0
detection-003,detection,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
detection-003,detection,useful_reads,66.89,66.89,0.0,200,0.0,0.0
detection-004,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-004,detection,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
detection-004,detection,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
detection-004,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-004,detection,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
detection-004,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-004,detection,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
detection-004,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-004,detection,screen_agreement,0.8448082368305944,0.8448082368305944,0.0,200,0.0,0.0
detection-004,detection,screen_alarm,0.715,0.715,0.0,200,0.0,0.0
detection-004,detection,screen_comparable_pairs,66.005,66.005,0.0,200,0.0,0.0
detection-004,detection,screen_observed_submissions,44.155,44.155,0.0,200,0.0,0.0
detection-004,detection,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-004,detection,submissions,175.435,175.435,0.0,200,0.0,0.0
detection-004,detection,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
detection-004,detection,total_reads,71.715,71.715,0.0,200,0.0,0.0
detection-004,detection,total_writes,107.435,107.435,0.0,200,0.0,0.0
detection-004,detection,unauthorized_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-004,detection,useful_reads,66.89,66.89,0.0,200,0.0,0.0
detection-005,detection,assignments,192.0,192.0,0.0,200,0.0,0.0
detection-005,detection,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
detection-005,detection,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
detection-005,detection,displacements,0.0,0.0,0.0,200,0.0,0.0
detection-005,detection,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
detection-005,detection,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
detection-005,detection,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
detection-005,detection,removed_pages,0.0,0.0,0.0,200,0.0,0.0
detection-005,detection,screen_agreement,0.837521870170048,0.837521870170048,0.0,200,0.0,0.0
detection-005,detection,screen_alarm,0.725,0.725,0.0,200,0.0,0.0
detection-005,detection,screen_comparable_pairs,1031.985,1031.985,0.0,200,0.0,0.0
detection-005,detection,screen_observed_submissions,175.435,175.435,0.0,200,0.0,0.0
detection-005,detection,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-005,detection,submissions,175.435,175.435,0.0,200,0.0,0.0
detection-005,detection,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
detection-005,detection,total_reads,71.715,71.715,0.0,200,0.0,0.0
detection-005,detection,total_writes,107.435,107.435,0.0,200,0.0,0.0
detection-005,detection,unauthorized_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
detection-005,detection,useful_reads,66.89,66.89,0.0,200,0.0,0.0
