cell_id,metric,mean_difference,p_value,n,zero_fraction,holm_p
moderation-000,completion_rate,0.0,1.0,200,1.0,1.0
moderation-000,total_writes,0.0,1.0,200,1.0,1.0
moderation-001,completion_rate,0.0,1.0,200,1.0,1.0
moderation-001,total_writes,0.0,1.0,200,1.0,1.0
moderation-002,completion_rate,-0.0036718750000000033,4.999750012499375e-05,200,0.175,0.000999950002499875
moderation-002,total_writes,-3.215,4.999750012499375e-05,200,0.08,0.000999950002499875
moderation-003,completion_rate,-0.0028385416666666698,0.0012999350032498376,200,0.205,0.009099545022748862
moderation-003,total_writes,-3.13,4.999750012499375e-05,200,0.075,0.000999950002499875
moderation-004,completion_rate,-0.0003125000000000033,0.6706664666766662,200,0.295,1.0
moderation-004,total_writes,-1.5,4.999750012499375e-05,200,0.155,0.000999950002499875
moderation-005,completion_rate,0.0007291666666666657,0.37378131093445327,200,0.3,1.0
moderation-005,total_writes,-1.37,4.999750012499375e-05,200,0.195,0.000999950002499875
moderation-006,completion_rate,-0.016197916666666666,4.999750012499375e-05,200,0.075,0.000999950002499875
moderation-006,total_writes,-17.805,4.999750012499375e-05,200,0.0,0.000999950002499875
moderation-007,completion_rate,-0.015755208333333333,4.999750012499375e-05,200,0.085,0.000999950002499875
moderation-007,total_writes,-17.325,4.999750012499375e-05,200,0.0,0.000999950002499875
moderation-008,completion_rate,-0.05106770833333333,4.999750012499375e-05,200,0.005,0.000999950002499875
moderation-008,total_writes,-49.355,4.999750012499375e-05,200,0.0,0.000999950002499875
moderation-009,completion_rate,-0.050078125,4.999750012499375e-05,200,0.0,0.000999950002499875
moderation-009,total_writes,-49.355,4.999750012499375e-05,200,0.0,0.000999950002499875
