cell_id,family,metric,treatment_mean,control_mean,paired_difference_mean,n,ci_low,ci_high
moderation-000,moderation,assignments,192.0,192.0,0.0,200,0.0,0.0
moderation-000,moderation,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
moderation-000,moderation,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
moderation-000,moderation,displacements,0.0,0.0,0.0,200,0.0,0.0
moderation-000,moderation,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
moderation-000,moderation,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
moderation-000,moderation,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
moderation-000,moderation,removed_pages,0.0,0.0,0.0,200,0.0,0.0
moderation-000,moderation,screen_agreement,0.837521870170048,0.837521870170048,0.0,200,0.0,0.0
moderation-000,moderation,screen_alarm,0.725,0.725,0.0,200,0.0,0.0
moderation-000,moderation,screen_comparable_pairs,1031.985,1031.985,0.0,200,0.0,0.0
moderation-000,moderation,screen_observed_submissions,175.435,175.435,0.0,200,0.0,0.0
moderation-000,moderation,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
moderation-000,moderation,submissions,175.435,175.435,0.0,200,0.0,0.0
moderation-000,moderation,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
moderation-000,moderation,total_reads,71.715,71.715,0.0,200,0.0,0.0
moderation-000,moderation,total_writes,107.435,107.435,0.0,200,0.0,0.0
moderation-000,moderation,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
moderation-000,moderation,useful_reads,66.89,66.89,0.0,200,0.0,0.0
moderation-001,moderation,assignments,192.0,192.0,0.0,200,0.0,0.0
moderation-001,moderation,completion_rate,0.9137239583333333,0.9137239583333333,0.0,200,0.0,0.0
moderation-001,moderation,deadline_miss_rate,0.08627604166666666,0.08627604166666666,0.0,200,0.0,0.0
moderation-001,moderation,displacements,0.0,0.0,0.0,200,0.0,0.0
moderation-001,moderation,mean_submission_time,3.798014255705874,3.798014255705874,0.0,200,0.0,0.0
moderation-001,moderation,moderator_actions,0.0,0.0,0.0,200,0.0,0.0
moderation-001,moderation,post_intervention_writes,49.355,49.355,0.0,200,0.0,0.0
moderation-001,moderation,removed_pages,0.0,0.0,0.0,200,0.0,0.0
moderation-001,moderation,screen_agreement,0.837521870170048,0.837521870170048,0.0,200,0.0,0.0
moderation-001,moderation,screen_alarm,0.725,0.725,0.0,200,0.0,0.0
moderation-001,moderation,screen_comparable_pairs,1031.985,1031.985,0.0,200,0.0,0.0
moderation-001,moderation,screen_observed_submissions,175.435,175.435,0.0,200,0.0,0.0
moderation-001,moderation,shared_submission_rate,0.34838541666666667,0.34838541666666667,0.0,200,0.0,0.0
moderation-001,moderation,submissions,175.435,175.435,0.0,200,0.0,0.0
moderation-001,moderation,task_success_rate,0.82078125,0.82078125,0.0,200,0.0,0.0
moderation-001,moderation,total_reads,71.715,71.715,0.0,200,0.0,0.0
moderation-001,moderation,total_writes,107.435,107.435,0.0,200,0.0,0.0
moderation-001,moderation,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
moderation-001,moderation,useful_reads,66.89,66.89,0.0,200,0.0,0.0
moderation-002,moderation,assignments,192.0,192.0,0.0,200,0.0,0.0
moderation-002,moderation,completion_rate,0.9100520833333333,0.9137239583333333,-0.0036718750000000033,200,-0.005390625000000006,-0.0019010416666666713
moderation-002,moderation,deadline_miss_rate,0.08994791666666668,0.08627604166666666,0.0036718750000000033,200,0.001927083333333336,0.005364583333333337
moderation-002,moderation,displacements,11.125,0.0,11.125,200,10.515,11.745
moderation-002,moderation,mean_submission_time,3.783979028304663,3.798014255705874,-0.01403522740121107,200,-0.030961529752953472,0.0033028440932006587
moderation-002,moderation,moderator_actions,3.0,0.0,3.0,200,3.0,3.0
moderation-002,moderation,post_intervention_writes,46.14,49.355,-3.215,200,-3.6,-2.835
moderation-002,moderation,removed_pages,33.42,0.0,33.42,200,32.775,34.04
moderation-002,moderation,screen_agreement,0.8407930579509656,0.837521870170048,0.0032711877809176748,200,-0.00115792742395673,0.007983243789008958
moderation-002,moderation,screen_alarm,0.75,0.725,0.025,200,-0.02,0.07
moderation-002,moderation,screen_comparable_pairs,1020.145,1031.985,-11.84,200,-17.095,-6.795
moderation-002,moderation,screen_observed_submissions,174.73,175.435,-0.705,200,-1.04,-0.375
moderation-002,moderation,shared_submission_rate,0.341953125,0.34838541666666667,-0.006432291666666664,200,-0.01,-0.0030989583333333316
moderation-002,moderation,submissions,174.73,175.435,-0.705,200,-1.035,-0.365
moderation-002,moderation,task_success_rate,0.8169270833333333,0.82078125,-0.0038541666666666724,200,-0.006822916666666667,-0.0008333333333333415
moderation-002,moderation,total_reads,70.405,71.715,-1.31,200,-1.97,-0.605
moderation-002,moderation,total_writes,104.22,107.435,-3.215,200,-3.6,-2.835
moderation-002,moderation,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
moderation-002,moderation,useful_reads,65.655,66.89,-1.235,200,-1.895,-0.59
moderation-003,moderation,assignments,192.0,192.0,0.0,200,0.0,0.0
moderation-003,moderation,completion_rate,0.9108854166666667,0.9137239583333333,-0.0028385416666666698,200,-0.004635416666666666,-0.0011197916666666708
moderation-003,moderation,deadline_miss_rate,0.08911458333333334,0.08627604166666666,0.0028385416666666698,200,0.0012239583333333286,0.004583333333333333
moderation-003,moderation,displacements,11.6,0.0,11.6,200,10.965,12.23
moderation-003,moderation,mean_submission_time,3.7853701071407726,3.798014255705874,-0.012644148565101683,200,-0.029307665913067275,0.004134104350693879
moderation-003,moderation,moderator_actions,3.0,0.0,3.0,200,3.0,3.0
moderation-003,moderation,post_intervention_writes,46.225,49.355,-3.13,200,-3.525,-2.745
moderation-003,moderation,removed_pages,33.545,0.0,33.545,200,32.935,34.15
moderation-003,moderation,screen_agreement,0.8404527529129335,0.837521870170048,0.0029308827428854646,200,-0.0015922210059319541,0.00752455886247201
moderation-003,moderation,screen_alarm,0.745,0.725,0.02,200,-0.025,0.065
moderation-003,moderation,screen_comparable_pairs,1022.6,1031.985,-9.385,200,-14.56,-4.07
moderation-003,moderation,screen_observed_submissions,174.89,175.435,-0.545,200,-0.88,-0.22
moderation-003,moderation,shared_submission_rate,0.34341145833333336,0.34838541666666667,-0.004973958333333331,200,-0.008593749999999995,-0.0012760416666666658
moderation-003,moderation,submissions,174.89,175.435,-0.545,200,-0.875,-0.215
moderation-003,moderation,task_success_rate,0.8175260416666668,0.82078125,-0.0032552083333333374,200,-0.0060937500000000045,-0.0005208333333333387
moderation-003,moderation,total_reads,70.68,71.715,-1.035,200,-1.7,-0.385
moderation-003,moderation,total_writes,104.305,107.435,-3.13,200,-3.525,-2.745
moderation-003,moderation,unauthorized_submission_rate,0.0,0.0,0.0,200,0.0,0.0
moderation-003,moderation,useful_reads,65.935,66.89,-0.955,200,-1.63,-0.32
moderation-004,moderation,assignments,192.0,192.0,0.0,200,0.0,0.0
moderation-004,moderation,completion_rate,0.9134114583333333,0.9137239583333333,-0.0003125000000000033,200,-0.0018750000000000017,0.0012499999999999994
