cell_id,family,n,overrides,coverage,completion_rate_mean,control_completion_rate_mean,task_success_rate_mean,control_task_success_rate_mean,shared_submission_rate_mean,control_shared_submission_rate_mean,total_writes_mean,control_total_writes_mean,post_intervention_writes_mean,control_post_intervention_writes_mean,displacements_mean,control_displacements_mean,removed_pages_mean,control_removed_pages_mean,useful_reads_mean,control_useful_reads_mean,screen_agreement_mean,control_screen_agreement_mean,screen_comparable_pairs_mean,control_screen_comparable_pairs_mean,alarm_runs,alarm_rate,alarm_wilson_low,alarm_wilson_high,control_alarm_runs,zero_write_control_runs,disrupted_works,relocated_works,displaced_works,evasion_learned,displaced_per_disrupted,displaced_per_relocated
moderation-000,moderation,200,"{""moderation_policy"": ""none"", ""relocation_mode"": ""endogenous""}",1.0,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.837521870170048,0.837521870170048,1031.985,1031.985,145,0.725,0.6593153404748534,0.7822039568619022,145,0,0,0,0,0,,
moderation-001,moderation,200,"{""moderation_policy"": ""none"", ""relocation_mode"": ""forced""}",1.0,0.9137239583333333,0.9137239583333333,0.82078125,0.82078125,0.34838541666666667,0.34838541666666667,107.435,107.435,49.355,49.355,0.0,0.0,0.0,0.0,66.89,66.89,0.837521870170048,0.837521870170048,1031.985,1031.985,145,0.725,0.6593153404748534,0.7822039568619022,145,0,0,0,0,0,,
moderation-002,moderation,200,"{""moderation_policy"": ""ordered"", ""relocation_mode"": ""endogenous""}",1.0,0.9100520833333333,0.9137239583333333,0.8169270833333333,0.82078125,0.341953125,0.34838541666666667,104.22,107.435,46.14,49.355,11.125,0.0,33.42,0.0,65.655,66.89,0.8407930579509656,0.837521870170048,1020.145,1031.985,150,0.75,0.6856577652038048,0.8049192318370347,145,0,6312,4524,2225,0,0.35250316856780733,0.4918213969938108
moderation-003,moderation,200,"{""moderation_policy"": ""ordered"", ""relocation_mode"": ""forced""}",1.0,0.9108854166666667,0.9137239583333333,0.8175260416666668,0.82078125,0.34341145833333336,0.34838541666666667,104.305,107.435,46.225,49.355,11.6,0.0,33.545,0.0,65.935,66.89,0.8404527529129335,0.837521870170048,1022.6,1031.985,149,0.745,0.6803694869280502,0.8003959701719726,145,0,6393,6393,2320,0,0.3628969185046144,0.3628969185046144
moderation-004,moderation,200,"{""moderation_policy"": ""random"", ""relocation_mode"": ""endogenous""}",1.0,0.9134114583333333,0.9137239583333333,0.819765625,0.82078125,0.35151041666666666,0.34838541666666667,105.935,107.435,47.855,49.355,6.85,0.0,19.815,0.0,67.49,66.89,0.8400280879542682,0.837521870170048,1031.055,1031.985,144,0.72,0.6540756858222899,0.7776320715736488,145,0,3851,2768,1370,0,0.35575175279148274,0.4949421965317919
moderation-005,moderation,200,"{""moderation_policy"": ""random"", ""relocation_mode"": ""forced""}",1.0,0.914453125,0.9137239583333333,0.8208333333333333,0.82078125,0.353515625,0.34838541666666667,106.065,107.435,47.985,49.355,7.16,0.0,19.745,0.0,67.875,66.89,0.840249116697179,0.837521870170048,1033.93,1031.985,144,0.72,0.6540756858222899,0.7776320715736488,145,0,3798,3798,1432,0,0.3770405476566614,0.3770405476566614
moderation-006,moderation,200,"{""moderation_policy"": ""lock"", ""relocation_mode"": ""endogenous""}",1.0,0.8975260416666667,0.9137239583333333,0.80671875,0.82078125,0.307734375,0.34838541666666667,89.63,107.435,31.55,49.355,9.665,0.0,0.0,0.0,59.085,66.89,0.8371520039169547,0.837521870170048,984.42,1031.985,146,0.73,0.664564384587978,0.7867664526895944,145,0,5754,4005,1933,0,0.3359402155022593,0.4826466916354557
moderation-007,moderation,200,"{""moderation_policy"": ""lock"", ""relocation_mode"": ""forced""}",1.0,0.89796875,0.9137239583333333,0.8071354166666667,0.82078125,0.3077604166666667,0.34838541666666667,90.11,107.435,32.03,49.355,10.125,0.0,0.0,0.0,59.09,66.89,0.8373022136148702,0.837521870170048,985.66,1031.985,146,0.73,0.664564384587978,0.7867664526895944,145,0,5821,5821,2025,0,0.3478783714138464,0.3478783714138464
moderation-008,moderation,200,"{""moderation_policy"": ""global_lock"", ""relocation_mode"": ""endogenous""}",1.0,0.86265625,0.9137239583333333,0.774375,0.82078125,0.22864583333333333,0.34838541666666667,58.08,107.435,0.0,49.355,0.0,0.0,0.0,0.0,43.9,66.89,0.8325664524456,0.837521870170048,891.29,1031.985,138,0.69,0.622826945087378,0.75001157266366,145,0,10675,4840,0,0,0.0,0.0
moderation-009,moderation,200,"{""moderation_policy"": ""global_lock"", ""relocation_mode"": ""forced""}",1.0,0.8636458333333333,0.9137239583333333,0.775234375,0.82078125,0.2290625,0.34838541666666667,58.08,107.435,0.0,49.355,0.0,0.0,0.0,0.0,43.98,66.89,0.8327935353323087,0.837521870170048,894.165,1031.985,138,0.69,0.622826945087378,0.75001157266366,145,0,12496,6661,0,0,0.0,0.0
