cell_id,family,metric,treatment_mean,control_mean,paired_difference_mean,n,ci_low,ci_high
emergence-000,emergence,assignments,192.0,192.0,0.0,30,0.0,0.0
emergence-000,emergence,completion_rate,0.5432291666666667,0.5432291666666667,0.0,30,0.0,0.0
emergence-000,emergence,deadline_miss_rate,0.45677083333333335,0.45677083333333335,0.0,30,0.0,0.0
emergence-000,emergence,displacements,0.0,0.0,0.0,30,0.0,0.0
emergence-000,emergence,mean_submission_time,2.7054623332906313,2.7054623332906313,0.0,30,0.0,0.0
emergence-000,emergence,moderator_actions,0.0,0.0,0.0,30,0.0,0.0
emergence-000,emergence,post_intervention_writes,21.033333333333335,21.033333333333335,0.0,30,0.0,0.0
emergence-000,emergence,removed_pages,0.0,0.0,0.0,30,0.0,0.0
emergence-000,emergence,screen_agreement,0.8403720457983975,0.8403720457983975,0.0,30,0.0,0.0
emergence-000,emergence,screen_alarm,0.6333333333333333,0.6333333333333333,0.0,30,0.0,0.0
emergence-000,emergence,screen_comparable_pairs,35.4,35.4,0.0,30,0.0,0.0
emergence-000,emergence,screen_observed_submissions,104.3,104.3,0.0,30,0.0,0.0
emergence-000,emergence,shared_submission_rate,0.025520833333333333,0.025520833333333333,0.0,30,0.0,0.0
emergence-000,emergence,submissions,104.3,104.3,0.0,30,0.0,0.0
emergence-000,emergence,task_success_rate,0.49236111111111114,0.49236111111111114,0.0,30,0.0,0.0
emergence-000,emergence,total_reads,5.7,5.7,0.0,30,0.0,0.0
emergence-000,emergence,total_writes,52.46666666666667,52.46666666666667,0.0,30,0.0,0.0
emergence-000,emergence,unauthorized_submission_rate,0.0,0.0,0.0,30,0.0,0.0
emergence-000,emergence,useful_reads,4.9,4.9,0.0,30,0.0,0.0
emergence-001,emergence,assignments,192.0,192.0,0.0,30,0.0,0.0
emergence-001,emergence,completion_rate,0.5519097222222222,0.5519097222222222,0.0,30,0.0,0.0
emergence-001,emergence,deadline_miss_rate,0.4480902777777778,0.4480902777777778,0.0,30,0.0,0.0
emergence-001,emergence,displacements,0.0,0.0,0.0,30,0.0,0.0
emergence-001,emergence,mean_submission_time,2.7090415669991286,2.7090415669991286,0.0,30,0.0,0.0
emergence-001,emergence,moderator_actions,0.0,0.0,0.0,30,0.0,0.0
emergence-001,emergence,post_intervention_writes,21.633333333333333,21.633333333333333,0.0,30,0.0,0.0
emergence-001,emergence,removed_pages,0.0,0.0,0.0,30,0.0,0.0
emergence-001,emergence,screen_agreement,0.8533504068035153,0.8533504068035153,0.0,30,0.0,0.0
emergence-001,emergence,screen_alarm,0.6333333333333333,0.6333333333333333,0.0,30,0.0,0.0
emergence-001,emergence,screen_comparable_pairs,41.8,41.8,0.0,30,0.0,0.0
emergence-001,emergence,screen_observed_submissions,105.96666666666667,105.96666666666667,0.0,30,0.0,0.0
emergence-001,emergence,shared_submission_rate,0.03819444444444444,0.03819444444444444,0.0,30,0.0,0.0
emergence-001,emergence,submissions,105.96666666666667,105.96666666666667,0.0,30,0.0,0.0
emergence-001,emergence,task_success_rate,0.4991319444444445,0.4991319444444445,0.0,30,0.0,0.0
emergence-001,emergence,total_reads,8.7,8.7,0.0,30,0.0,0.0
emergence-001,emergence,total_writes,53.63333333333333,53.63333333333333,0.0,30,0.0,0.0
emergence-001,emergence,unauthorized_submission_rate,0.0,0.0,0.0,30,0.0,0.0
emergence-001,emergence,useful_reads,7.333333333333333,7.333333333333333,0.0,30,0.0,0.0
emergence-002,emergence,assignments,192.0,192.0,0.0,30,0.0,0.0
emergence-002,emergence,completion_rate,0.8921875,0.8921875,0.0,30,0.0,0.0
emergence-002,emergence,deadline_miss_rate,0.1078125,0.1078125,0.0,30,0.0,0.0
emergence-002,emergence,displacements,0.0,0.0,0.0,30,0.0,0.0
emergence-002,emergence,mean_submission_time,5.70903990463953,5.70903990463953,0.0,30,0.0,0.0
emergence-002,emergence,moderator_actions,0.0,0.0,0.0,30,0.0,0.0
emergence-002,emergence,post_intervention_writes,63.06666666666667,63.06666666666667,0.0,30,0.0,0.0
